approach,tolerance,ratio,asr,time
#adaptive,0.00,0,0.9989,34m9.6285537s
#adaptive,0.00,10,0.8959,29m36.8656543s
#adaptive,0.00,20,0.7940,26m35.6205484s
#adaptive,0.00,30,0.7121,24m5.857889s
#adaptive,0.00,40,0.6017,20m43.9477643s
#adaptive,0.00,50,0.5077,17m56.3537401s
#adaptive,0.00,60,0.3965,14m28.9114812s
#adaptive,0.00,70,0.2949,11m22.8699505s
#adaptive,0.00,80,0.2073,8m42.6670378s
#adaptive,0.00,90,0.0993,5m22.0248891s
adaptive,0.01,0,0.0736,2m25.1407666s
adaptive,0.01,10,0.0360,1m28.89132s
adaptive,0.01,20,0.0111,56.6053214s
adaptive,0.01,30,0.0077,1m4.3892624s
adaptive,0.01,40,0.0038,1m10.8645285s
adaptive,0.01,50,0.0023,1m21.4626765s
adaptive,0.01,60,0.0020,1m34.1419812s
adaptive,0.01,70,0.0006,1m43.8113038s
adaptive,0.01,80,0.0000,1m53.9969198s
adaptive,0.01,90,0.0000,2m6.208798s
adaptive,0.02,0,0.0104,20.8380444s
adaptive,0.02,10,0.0014,20.4201175s
adaptive,0.02,20,0.0011,36.6818789s
adaptive,0.02,30,0.0008,51.0921855s
adaptive,0.02,40,0.0000,1m3.6862725s
adaptive,0.02,50,0.0002,1m17.8763013s
adaptive,0.02,60,0.0002,1m30.8636381s
adaptive,0.02,70,0.0000,1m42.1095525s
adaptive,0.02,80,0.0000,1m54.5351265s
adaptive,0.02,90,0.0000,2m6.4486372s
adaptive,0.03,0,0.0040,8.508961s
adaptive,0.03,10,0.0001,18.3850189s
adaptive,0.03,20,0.0001,33.9034842s
adaptive,0.03,30,0.0002,50.3899626s
adaptive,0.03,40,0.0000,1m3.7399093s
adaptive,0.03,50,0.0000,1m17.1244508s
adaptive,0.03,60,0.0000,1m29.6831048s
adaptive,0.03,70,0.0000,1m43.0134307s
adaptive,0.03,80,0.0000,1m54.1244422s
adaptive,0.03,90,0.0000,2m6.0808028s
adaptive,0.04,0,0.0019,4.0567222s
adaptive,0.04,10,0.0000,17.6507692s
adaptive,0.04,20,0.0000,34.5088132s
adaptive,0.04,30,0.0000,49.1988136s
adaptive,0.04,40,0.0000,1m4.0498318s
adaptive,0.04,50,0.0000,1m17.2888473s
adaptive,0.04,60,0.0000,1m29.7094051s
adaptive,0.04,70,0.0000,1m42.8361386s
adaptive,0.04,80,0.0000,1m54.4641234s
adaptive,0.04,90,0.0000,2m6.2002993s
adaptive,0.05,0,0.0013,2.9335071s
adaptive,0.05,10,0.0000,17.8532238s
adaptive,0.05,20,0.0000,34.2997583s
adaptive,0.05,30,0.0000,49.4307317s
adaptive,0.05,40,0.0000,1m3.6418781s
adaptive,0.05,50,0.0000,1m17.0446058s
adaptive,0.05,60,0.0000,1m31.250574s
adaptive,0.05,70,0.0000,1m41.5958971s
adaptive,0.05,80,0.0000,1m54.5445064s
adaptive,0.05,90,0.0000,2m5.9592505s
adaptive,0.06,0,0.0002,819.849ms
adaptive,0.06,10,0.0000,18.6160314s
adaptive,0.06,20,0.0000,33.8137094s
adaptive,0.06,30,0.0000,49.9530759s
adaptive,0.06,40,0.0000,1m3.4755659s
adaptive,0.06,50,0.0000,1m17.6528006s
adaptive,0.06,60,0.0000,1m29.944307s
adaptive,0.06,70,0.0000,1m42.8866641s
adaptive,0.06,80,0.0000,1m54.3118545s
adaptive,0.06,90,0.0000,2m6.0914568s
adaptive,0.07,0,0.0003,1.1921577s
adaptive,0.07,10,0.0000,17.8718368s
adaptive,0.07,20,0.0000,34.5973663s
adaptive,0.07,30,0.0000,49.3159742s
adaptive,0.07,40,0.0000,1m4.3983484s
adaptive,0.07,50,0.0000,1m17.891789s
adaptive,0.07,60,0.0000,1m30.1293992s
adaptive,0.07,70,0.0000,1m43.5315748s
adaptive,0.07,80,0.0000,1m55.0826765s
adaptive,0.07,90,0.0000,2m7.5248701s
adaptive,0.08,0,0.0001,1.0415341s
adaptive,0.08,10,0.0000,18.2146141s
adaptive,0.08,20,0.0000,34.6322561s
adaptive,0.08,30,0.0000,49.4096141s
adaptive,0.08,40,0.0000,1m3.872614s
adaptive,0.08,50,0.0000,1m17.6433031s
adaptive,0.08,60,0.0000,1m30.5768231s
adaptive,0.08,70,0.0000,1m43.7196141s
adaptive,0.08,80,0.0000,1m55.437823s
adaptive,0.08,90,0.0000,2m7.6436141s
adaptive,0.09,0,0.0001,1.0415341s
adaptive,0.09,10,0.0000,18.2146141s
adaptive,0.09,20,0.0000,34.6322561s
adaptive,0.09,30,0.0000,49.4096141s
adaptive,0.09,40,0.0000,1m3.872614s
adaptive,0.09,50,0.0000,1m17.6433031s
adaptive,0.09,60,0.0000,1m30.5768231s
adaptive,0.09,70,0.0000,1m43.7196141s
adaptive,0.09,80,0.0000,1m55.437823s
adaptive,0.09,90,0.0000,2m7.6436141s
adaptive,0.10,0,0.0009,1.8927341s
adaptive,0.10,10,0.0000,19.7582914s
adaptive,0.10,20,0.0000,38.2451067s
adaptive,0.10,30,0.0000,1m2.8739452s
adaptive,0.10,40,0.0000,1m21.9067834s
adaptive,0.10,50,0.0000,1m31.2483759s
adaptive,0.10,60,0.0000,1m52.4816203s
adaptive,0.10,70,0.0000,2m7.8592641s
adaptive,0.10,80,0.0000,2m16.7294058s
adaptive,0.10,90,0.0000,2m38.1507892s
