filename,encryption_ratio,summation_error,deviation_error,encryption_time_ns,decryption_time_ns,summation_operations_time_ns,deviation_operations_time_ns
MAC000015.csv,0.10,3546.171154,-0.328628,0,0,0,1375700
MAC000017.csv,0.10,2430.661923,-0.088393,0,0,0,0
MAC000024.csv,0.10,7282.398769,-1.317281,0,0,0,1541400
MAC000033.csv,0.10,2931.264923,-0.044276,3293800,0,0,0
MAC000034.csv,0.10,8313.465231,-6.077359,0,0,0,2593400
MAC000044.csv,0.10,4438.772154,-0.233501,0,0,0,0
MAC000046.csv,0.10,4146.415615,-0.377020,0,0,0,0
MAC000047.csv,0.10,2223.785692,-0.009486,0,0,0,0
MAC000049.csv,0.10,12870.402154,-2.514604,0,0,0,0
MAC000055.csv,0.10,3933.869154,-0.201934,0,0,0,0
MAC000066.csv,0.10,2595.129154,-0.039527,0,0,10302700,0
MAC000067.csv,0.10,2996.592154,-0.049518,0,0,0,0
MAC000069.csv,0.10,2991.628923,-0.038871,0,0,1782000,0
MAC000108.csv,0.10,1346.302462,-0.015477,0,0,0,7573000
MAC000145.csv,0.10,3381.017923,-0.117460,0,0,0,0
MAC000147.csv,0.10,2654.208154,-0.104225,0,0,0,2601200
MAC000150.csv,0.10,2730.086692,-0.192159,0,0,0,0
MAC000151.csv,0.10,1419.512462,-0.013490,0,0,0,0
MAC000152.csv,0.10,2740.766923,-0.276190,0,0,0,0
MAC000153.csv,0.10,9732.920231,-1.321241,0,0,0,0
MAC000155.csv,0.10,3999.685385,-0.220876,0,0,0,0
MAC000158.csv,0.10,1571.963462,-0.025306,0,0,0,0
MAC000159.csv,0.10,3737.968154,-0.130035,0,0,8623700,0
MAC000160.csv,0.10,2542.524692,-0.098756,0,0,0,7601200
MAC000162.csv,0.10,1990.614462,-0.025150,10117700,0,0,0
MAC000163.csv,0.10,3615.600154,-0.349711,0,0,0,0
MAC000166.csv,0.10,3861.521923,-0.100602,1313200,0,0,0
MAC000167.csv,0.10,1615.152000,-0.002974,0,0,0,0
MAC000169.csv,0.10,2498.303923,-0.085675,0,0,0,0
MAC000170.csv,0.10,3988.607923,-0.121802,0,0,0,0
MAC000171.csv,0.10,1072.968231,-0.050163,0,0,0,0
MAC000173.csv,0.10,2241.833923,-0.055678,0,0,7140200,0
MAC000174.csv,0.10,6719.507615,-0.418613,0,0,0,8195900
MAC000175.csv,0.10,3115.218923,-0.031104,0,0,0,0
MAC000176.csv,0.10,1854.029692,-0.011315,0,0,0,2029000
MAC000177.csv,0.10,2530.074154,-0.166151,0,0,3415100,0
MAC000178.csv,0.10,3525.647615,-0.180559,0,0,0,0
MAC000179.csv,0.10,2394.929692,-0.121109,0,0,0,0
MAC000180.csv,0.10,3167.334692,-0.369478,0,0,0,0
MAC000185.csv,0.10,2272.715692,-0.111126,0,0,0,0
MAC000186.csv,0.10,1488.822692,-0.035040,0,0,0,0
MAC000187.csv,0.10,3280.945923,-0.108028,0,0,0,0
MAC000188.csv,0.10,1699.724462,-0.024879,0,0,0,0
MAC000189.csv,0.10,3661.735385,-0.418669,0,0,0,0
MAC000190.csv,0.10,2592.545923,-0.058169,0,0,0,0
MAC000191.csv,0.10,5108.864846,-0.719636,0,0,0,10082000
MAC000192.csv,0.10,2855.066154,-0.120010,9108700,0,0,0
MAC000193.csv,0.10,3695.329692,-0.270816,0,0,10082900,0
MAC000194.csv,0.10,3974.509154,-0.323188,0,0,0,0
MAC000198.csv,0.10,3636.129154,-0.043687,0,0,0,3703000
MAC000199.csv,0.10,2357.390923,-0.055876,0,0,2187600,0
MAC000201.csv,0.10,3547.016154,-0.078438,0,0,0,0
MAC000203.csv,0.10,2505.191923,-0.073053,0,0,0,0
MAC000205.csv,0.10,3996.074923,-0.230998,0,0,0,0
MAC000207.csv,0.10,5304.884385,-0.447700,0,0,0,0
MAC000209.csv,0.10,1120.486462,-0.006228,0,0,0,0
MAC000211.csv,0.10,2777.443923,-0.138929,0,0,0,6679400
