approach,tolerance,ratio,asr,time
none,0.00,0,0.9990,1m40.6983377s
none,0.00,10,0.8870,1m50.1978587s
none,0.00,20,0.7990,1m53.0870907s
none,0.00,30,0.7000,1m53.4700544s
none,0.00,40,0.6050,1m56.2270908s
none,0.00,50,0.5120,1m59.785046s
none,0.00,60,0.4280,2m3.8293096s
none,0.00,70,0.2870,1m57.500547s
none,0.00,80,0.2110,1m57.6811342s
none,0.00,90,0.1040,1m56.0714308s
adaptive,0.00,0,0.9980,1m39.1947012s
adaptive,0.00,10,0.8810,1m40.8979507s
adaptive,0.00,20,0.8010,1m45.7611249s
adaptive,0.00,30,0.6970,1m48.6736328s
adaptive,0.00,40,0.6200,1m56.5750893s
adaptive,0.00,50,0.4940,1m54.5065177s
adaptive,0.00,60,0.3980,1m55.5582908s
adaptive,0.00,70,0.3000,1m55.2352118s
adaptive,0.00,80,0.1960,1m55.139194s
adaptive,0.00,90,0.1120,1m56.4673352s
adaptive,0.10,0,0.9980,1m42.4657402s
adaptive,0.10,10,0.9060,1m48.5941311s
adaptive,0.10,20,0.7800,1m51.1035425s
adaptive,0.10,30,0.7080,1m55.8016211s
adaptive,0.10,40,0.6030,2m0.0932687s
adaptive,0.10,50,0.5290,2m3.4640664s
adaptive,0.10,60,0.4010,2m2.225368s
adaptive,0.10,70,0.2880,1m59.4912321s
adaptive,0.10,80,0.2240,2m3.3362003s
adaptive,0.10,90,0.0930,1m59.3115538s
adaptive,0.20,0,0.9990,1m43.9882335s
adaptive,0.20,10,0.8930,1m48.244026s
adaptive,0.20,20,0.8100,1m53.8614413s
adaptive,0.20,30,0.6870,1m54.564278s
adaptive,0.20,40,0.5760,1m56.8440108s
adaptive,0.20,50,0.5160,2m1.0162327s
adaptive,0.20,60,0.4160,2m2.4643589s
adaptive,0.20,70,0.2990,2m0.8875057s
adaptive,0.20,80,0.2130,2m1.646016s
adaptive,0.20,90,0.1000,2m1.2636092s
adaptive,0.30,0,0.9980,1m44.7794889s
adaptive,0.30,10,0.8870,1m49.1650744s
adaptive,0.30,20,0.7870,1m53.4350098s
adaptive,0.30,30,0.6940,1m56.1212968s
adaptive,0.30,40,0.5970,1m59.8600814s
adaptive,0.30,50,0.5020,2m1.0437703s
adaptive,0.30,60,0.3920,2m1.1058153s
adaptive,0.30,70,0.2850,2m1.0985476s
adaptive,0.30,80,0.2200,2m4.8786743s
adaptive,0.30,90,0.0950,2m1.2409793s
adaptive,0.40,0,1.0000,1m50.271221s
adaptive,0.40,10,0.9170,2m0.5108332s
adaptive,0.40,20,0.7880,1m59.6462495s
adaptive,0.40,30,0.6930,2m5.0070265s
adaptive,0.40,40,0.5960,2m5.0001307s
adaptive,0.40,50,0.5160,2m7.438404s
adaptive,0.40,60,0.4280,2m9.8881668s
adaptive,0.40,70,0.2930,2m6.9133199s
adaptive,0.40,80,0.2110,2m9.3707599s
adaptive,0.40,90,0.0900,2m5.6174168s
adaptive,0.50,0,1.0000,1m52.7364639s
adaptive,0.50,10,0.9130,1m57.3132503s
adaptive,0.50,20,0.8140,2m2.6205607s
adaptive,0.50,30,0.7030,2m3.993908s
adaptive,0.50,40,0.5630,2m2.3655715s
adaptive,0.50,50,0.5070,2m5.8492768s
adaptive,0.50,60,0.4250,2m9.4563101s
adaptive,0.50,70,0.3080,2m6.3425327s
adaptive,0.50,80,0.1860,2m7.3297423s
adaptive,0.50,90,0.1140,2m1.0288141s
adaptive,0.60,0,0.9980,1m44.522114s
adaptive,0.60,10,0.8960,1m57.6179789s
adaptive,0.60,20,0.8200,1m58.8217735s
adaptive,0.60,30,0.7010,1m59.4530706s
adaptive,0.60,40,0.6190,2m7.0708923s
adaptive,0.60,50,0.4820,2m2.1330818s
adaptive,0.60,60,0.3980,2m6.1186285s
adaptive,0.60,70,0.2880,2m9.218529s
adaptive,0.60,80,0.2020,2m7.9616203s
adaptive,0.60,90,0.0820,2m2.5013765s
adaptive,0.70,0,0.9960,1m47.0299831s
adaptive,0.70,10,0.8840,1m51.6294505s
adaptive,0.70,20,0.8100,1m57.1611674s
adaptive,0.70,30,0.7240,2m1.8516887s
adaptive,0.70,40,0.5890,1m58.8249431s
adaptive,0.70,50,0.5000,2m6.0051292s
adaptive,0.70,60,0.4070,2m3.1331542s
adaptive,0.70,70,0.2810,2m2.9057394s
adaptive,0.70,80,0.2100,2m2.9761493s
adaptive,0.70,90,0.0890,2m0.7155642s
adaptive,0.80,0,0.9990,1m47.7461704s
adaptive,0.80,10,0.9000,1m54.3759811s
adaptive,0.80,20,0.7930,1m57.4461175s
adaptive,0.80,30,0.7050,2m2.5895525s
adaptive,0.80,40,0.5970,2m3.7012613s
adaptive,0.80,50,0.5030,2m4.1207568s
adaptive,0.80,60,0.4440,2m12.3091684s
adaptive,0.80,70,0.2970,2m9.3428043s
adaptive,0.80,80,0.2000,2m14.7342116s
adaptive,0.80,90,0.0880,2m0.5859485s
adaptive,0.90,0,1.0000,1m44.161906s
adaptive,0.90,10,0.9090,1m52.463219s
adaptive,0.90,20,0.8060,1m55.5745826s
adaptive,0.90,30,0.6860,1m57.323629s
adaptive,0.90,40,0.5840,1m57.4412448s
adaptive,0.90,50,0.5080,2m6.8973341s
adaptive,0.90,60,0.4090,2m6.955112s
adaptive,0.90,70,0.2910,2m3.0039244s
adaptive,0.90,80,0.1870,2m2.0953344s
adaptive,0.90,90,0.1140,2m5.37553s
