filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,0,19/05/2017 to 06/04/2017,6394.00,0.10,2.781011,2.781011
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,1,06/04/2017 to 22/02/2017,4505.00,0.10,2.409996,2.409996
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,2,22/02/2017 to 11/01/2017,8152.00,0.10,2.921256,2.921256
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,3,11/01/2017 to 29/11/2016,4961.00,0.10,2.918243,2.918243
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,4,29/11/2016 to 17/10/2016,10416.00,0.10,3.787947,3.787947
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,5,17/10/2016 to 04/09/2016,5395.00,0.10,2.913947,2.913947
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,6,04/09/2016 to 23/07/2016,7827.00,0.10,3.007807,3.007807
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,7,23/07/2016 to 10/06/2016,6605.00,0.10,3.144580,3.144580
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,8,10/06/2016 to 27/04/2016,7111.00,0.10,3.198863,3.198863
008cfa1c-5152-4b76-a837-b4b799f65dde.csv,9,27/04/2016 to 14/03/2016,5337.00,0.10,2.755092,2.755092
09967234-a409-420a-bc5a-1474bb4790f3.csv,0,19/05/2017 to 07/04/2017,15154.00,0.10,4.689586,4.689586
09967234-a409-420a-bc5a-1474bb4790f3.csv,1,07/04/2017 to 22/02/2017,11148.00,0.10,4.564493,4.564493
09967234-a409-420a-bc5a-1474bb4790f3.csv,2,22/02/2017 to 11/01/2017,12726.00,0.10,4.236712,4.236712
09967234-a409-420a-bc5a-1474bb4790f3.csv,3,11/01/2017 to 29/11/2016,12082.00,0.10,4.649964,4.649964
09967234-a409-420a-bc5a-1474bb4790f3.csv,4,29/11/2016 to 17/10/2016,18497.00,0.10,5.154512,5.154512
09967234-a409-420a-bc5a-1474bb4790f3.csv,5,17/10/2016 to 04/09/2016,23232.00,0.10,5.520841,5.520841
09967234-a409-420a-bc5a-1474bb4790f3.csv,6,04/09/2016 to 23/07/2016,10762.00,0.10,4.101239,4.101239
09967234-a409-420a-bc5a-1474bb4790f3.csv,7,23/07/2016 to 09/06/2016,10089.00,0.10,3.734857,3.734857
09967234-a409-420a-bc5a-1474bb4790f3.csv,8,09/06/2016 to 26/04/2016,15281.00,0.10,4.560696,4.560696
09967234-a409-420a-bc5a-1474bb4790f3.csv,9,26/04/2016 to 13/03/2016,9863.00,0.10,3.730785,3.730785
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,0,19/05/2017 to 07/04/2017,19035.00,0.10,4.791262,4.791262
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,1,07/04/2017 to 22/02/2017,20797.00,0.10,4.909832,4.909832
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,2,22/02/2017 to 11/01/2017,27479.00,0.10,4.931990,4.931990
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,3,11/01/2017 to 29/11/2016,33525.00,0.10,5.480399,5.480399
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,4,29/11/2016 to 18/10/2016,46756.00,0.10,5.406482,5.406482
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,5,17/10/2016 to 05/09/2016,30433.00,0.10,4.973319,4.973319
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,6,05/09/2016 to 24/07/2016,22162.00,0.10,5.087607,5.087607
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,7,24/07/2016 to 10/06/2016,18694.00,0.10,4.838376,4.838376
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,8,10/06/2016 to 28/04/2016,19890.00,0.10,4.802345,4.802345
0d060044-7b49-4fb7-9ad1-bc0f959d88e1.csv,9,27/04/2016 to 15/03/2016,21664.00,0.10,4.991669,4.991669
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,0,19/05/2017 to 06/04/2017,3879.00,0.10,1.977204,1.977204
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,1,06/04/2017 to 21/02/2017,4086.00,0.10,2.130507,2.130507
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,2,21/02/2017 to 10/01/2017,4731.00,0.10,2.146190,2.146190
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,3,10/01/2017 to 28/11/2016,4536.00,0.10,2.243387,2.243387
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,4,28/11/2016 to 16/10/2016,5204.00,0.10,2.344965,2.344965
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,5,16/10/2016 to 02/09/2016,5594.00,0.10,2.495403,2.495403
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,6,02/09/2016 to 21/07/2016,4353.00,0.10,2.196063,2.196063
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,7,21/07/2016 to 07/06/2016,3771.00,0.10,1.725892,1.725892
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,8,07/06/2016 to 23/04/2016,0.00,0.10,0.000000,0.000000
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,9,23/04/2016 to 11/03/2016,2182.00,0.10,1.389223,1.389223
10595ac6-509a-49eb-8e4b-6c454977e095.csv,0,19/05/2017 to 07/04/2017,3342.00,0.10,2.604260,2.604260
10595ac6-509a-49eb-8e4b-6c454977e095.csv,1,07/04/2017 to 21/02/2017,3605.00,0.10,2.610957,2.610957
10595ac6-509a-49eb-8e4b-6c454977e095.csv,2,21/02/2017 to 10/01/2017,3323.00,0.10,2.548673,2.548673
10595ac6-509a-49eb-8e4b-6c454977e095.csv,3,10/01/2017 to 29/11/2016,3359.00,0.10,2.646289,2.646289
10595ac6-509a-49eb-8e4b-6c454977e095.csv,4,29/11/2016 to 17/10/2016,1712.00,0.10,1.691180,1.691180
10595ac6-509a-49eb-8e4b-6c454977e095.csv,5,17/10/2016 to 04/09/2016,2131.00,0.10,1.899083,1.899083
10595ac6-509a-49eb-8e4b-6c454977e095.csv,6,04/09/2016 to 23/07/2016,3540.00,0.10,2.634552,2.634552
10595ac6-509a-49eb-8e4b-6c454977e095.csv,7,23/07/2016 to 09/06/2016,3399.00,0.10,2.604054,2.604054
10595ac6-509a-49eb-8e4b-6c454977e095.csv,8,09/06/2016 to 26/04/2016,3086.00,0.10,2.350419,2.350419
10595ac6-509a-49eb-8e4b-6c454977e095.csv,9,26/04/2016 to 12/03/2016,3982.00,0.10,2.925529,2.925529
128c9821-8849-46d6-a7a7-5709ec799f94.csv,0,19/05/2017 to 06/04/2017,12899.00,0.10,3.465668,3.465668
128c9821-8849-46d6-a7a7-5709ec799f94.csv,1,06/04/2017 to 21/02/2017,16312.00,0.10,3.612432,3.612432
128c9821-8849-46d6-a7a7-5709ec799f94.csv,2,21/02/2017 to 10/01/2017,1315.00,0.10,0.573895,0.573895
128c9821-8849-46d6-a7a7-5709ec799f94.csv,3,10/01/2017 to 28/11/2016,4431.00,0.10,1.104416,1.104416
128c9821-8849-46d6-a7a7-5709ec799f94.csv,4,28/11/2016 to 16/10/2016,8693.00,0.10,2.192958,2.192958
128c9821-8849-46d6-a7a7-5709ec799f94.csv,5,16/10/2016 to 02/09/2016,19217.00,0.10,2.923116,2.923116
128c9821-8849-46d6-a7a7-5709ec799f94.csv,6,02/09/2016 to 21/07/2016,254.00,0.10,0.194132,0.194132
128c9821-8849-46d6-a7a7-5709ec799f94.csv,7,21/07/2016 to 07/06/2016,6318.00,0.10,2.196830,2.196830
128c9821-8849-46d6-a7a7-5709ec799f94.csv,8,07/06/2016 to 24/04/2016,2161.00,0.10,0.851537,0.851537
128c9821-8849-46d6-a7a7-5709ec799f94.csv,9,24/04/2016 to 10/03/2016,3704.00,0.10,1.923039,1.923039
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,0,19/05/2017 to 07/04/2017,12275.00,0.10,4.085096,4.085096
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,1,07/04/2017 to 22/02/2017,13667.00,0.10,4.173051,4.173051
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,2,22/02/2017 to 11/01/2017,12993.00,0.10,3.983418,3.983418
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,3,11/01/2017 to 29/11/2016,11512.00,0.10,4.090474,4.090474
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,4,29/11/2016 to 17/10/2016,8626.00,0.10,3.361750,3.361750
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,5,17/10/2016 to 05/09/2016,9254.00,0.10,3.501961,3.501961
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,6,05/09/2016 to 23/07/2016,10616.00,0.10,3.710850,3.710850
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,7,23/07/2016 to 10/06/2016,12323.00,0.10,3.917346,3.917346
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,8,10/06/2016 to 27/04/2016,10397.00,0.10,3.488857,3.488857
13464844-b1ad-47e3-b2a9-b48426b2a986.csv,9,27/04/2016 to 13/03/2016,12416.00,0.10,3.645635,3.645635
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,0,19/05/2017 to 07/04/2017,12459.00,0.10,3.630222,3.630222
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,1,07/04/2017 to 21/02/2017,13407.00,0.10,3.809206,3.809206
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,2,21/02/2017 to 10/01/2017,15578.00,0.10,4.017537,4.017537
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,3,10/01/2017 to 28/11/2016,12368.00,0.10,3.547492,3.547492
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,4,28/11/2016 to 17/10/2016,12821.00,0.10,3.710531,3.710531
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,5,17/10/2016 to 03/09/2016,12264.00,0.10,3.754295,3.754295
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,6,03/09/2016 to 22/07/2016,13139.00,0.10,3.820981,3.820981
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,7,22/07/2016 to 09/06/2016,13831.00,0.10,3.834694,3.834694
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,8,09/06/2016 to 26/04/2016,12733.00,0.10,3.904645,3.904645
13c202b0-14dc-42da-b5ca-21d132cc23fc.csv,9,26/04/2016 to 13/03/2016,12689.00,0.10,3.783477,3.783477
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,0,19/05/2017 to 07/04/2017,485.00,0.10,0.098562,0.098562
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,1,07/04/2017 to 20/02/2017,665.00,0.10,0.189677,0.189677
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,2,20/02/2017 to 09/01/2017,534.00,0.10,0.177311,0.177311
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,3,09/01/2017 to 27/11/2016,730.00,0.10,0.178048,0.178048
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,4,27/11/2016 to 15/10/2016,782.00,0.10,0.219213,0.219213
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,5,15/10/2016 to 02/09/2016,631.00,0.10,0.212710,0.212710
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,6,02/09/2016 to 21/07/2016,459.00,0.10,0.196919,0.196919
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,7,21/07/2016 to 08/06/2016,548.00,0.10,0.179264,0.179264
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,8,08/06/2016 to 24/04/2016,476.00,0.10,0.183818,0.183818
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,9,24/04/2016 to 11/03/2016,623.00,0.10,0.179264,0.179264
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,0,19/05/2017 to 07/04/2017,12357.00,0.10,4.066098,4.066098
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,1,07/04/2017 to 22/02/2017,13367.00,0.10,4.005950,4.005950
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,2,22/02/2017 to 11/01/2017,15636.00,0.10,3.980935,3.980935
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,3,11/01/2017 to 26/11/2016,15217.00,0.10,4.272697,4.272697
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,4,26/11/2016 to 14/10/2016,14180.00,0.10,4.084183,4.084183
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,5,14/10/2016 to 01/09/2016,13342.00,0.10,3.964332,3.964332
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,6,01/09/2016 to 21/07/2016,14924.00,0.10,4.789584,4.789584
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,7,21/07/2016 to 07/06/2016,11812.00,0.10,4.059896,4.059896
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,8,07/06/2016 to 24/04/2016,12196.00,0.10,3.834235,3.834235
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,9,24/04/2016 to 10/03/2016,14179.00,0.10,4.389657,4.389657
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,0,19/05/2017 to 07/04/2017,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,1,06/04/2017 to 21/02/2017,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,2,21/02/2017 to 10/01/2017,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,3,10/01/2017 to 28/11/2016,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,4,28/11/2016 to 17/10/2016,13365.00,0.10,4.650650,4.650650
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,5,17/10/2016 to 04/09/2016,11782.00,0.10,4.101996,4.101996
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,6,04/09/2016 to 23/07/2016,5840.00,0.10,2.325602,2.325602
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,7,23/07/2016 to 09/06/2016,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,8,09/06/2016 to 26/04/2016,0.00,0.10,0.000000,0.000000
1c5830aa-89f2-4b25-8953-4d644a34bfdc.csv,9,26/04/2016 to 12/03/2016,0.00,0.10,0.000000,0.000000
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,0,19/05/2017 to 07/04/2017,1604.00,0.10,1.771858,1.771858
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,1,07/04/2017 to 22/02/2017,1745.00,0.10,1.808666,1.808666
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,2,22/02/2017 to 10/01/2017,2078.00,0.10,1.879684,1.879684
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,3,10/01/2017 to 28/11/2016,2102.00,0.10,2.012117,2.012117
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,4,28/11/2016 to 16/10/2016,2010.00,0.10,2.126565,2.126565
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,5,16/10/2016 to 03/09/2016,3300.00,0.10,2.238057,2.238057
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,6,03/09/2016 to 21/07/2016,923.00,0.10,0.987389,0.987389
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,7,21/07/2016 to 07/06/2016,0.00,0.10,0.000000,0.000000
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,8,07/06/2016 to 24/04/2016,0.00,0.10,0.000000,0.000000
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,9,24/04/2016 to 11/03/2016,0.00,0.10,0.000000,0.000000
1fe45385-e790-4855-a2fe-7284313ec322.csv,0,19/05/2017 to 06/04/2017,7476.00,0.10,2.997128,2.997128
1fe45385-e790-4855-a2fe-7284313ec322.csv,1,06/04/2017 to 22/02/2017,3534.00,0.10,2.001441,2.001441
1fe45385-e790-4855-a2fe-7284313ec322.csv,2,22/02/2017 to 10/01/2017,8768.00,0.10,3.375236,3.375236
1fe45385-e790-4855-a2fe-7284313ec322.csv,3,10/01/2017 to 28/11/2016,7802.00,0.10,3.381043,3.381043
1fe45385-e790-4855-a2fe-7284313ec322.csv,4,28/11/2016 to 16/10/2016,7704.00,0.10,3.376289,3.376289
1fe45385-e790-4855-a2fe-7284313ec322.csv,5,16/10/2016 to 03/09/2016,3650.00,0.10,1.779582,1.779582
1fe45385-e790-4855-a2fe-7284313ec322.csv,6,03/09/2016 to 22/07/2016,11336.00,0.10,3.900412,3.900412
1fe45385-e790-4855-a2fe-7284313ec322.csv,7,22/07/2016 to 08/06/2016,6679.00,0.10,3.272397,3.272397
1fe45385-e790-4855-a2fe-7284313ec322.csv,8,08/06/2016 to 25/04/2016,6253.00,0.10,2.950200,2.950200
1fe45385-e790-4855-a2fe-7284313ec322.csv,9,25/04/2016 to 11/03/2016,2295.00,0.10,1.909558,1.909558
24564a57-959d-4214-8e07-94a14f121a91.csv,0,19/05/2017 to 07/04/2017,8051.00,0.10,2.846397,2.846397
24564a57-959d-4214-8e07-94a14f121a91.csv,1,07/04/2017 to 23/02/2017,13331.00,0.10,3.040367,3.040367
24564a57-959d-4214-8e07-94a14f121a91.csv,2,23/02/2017 to 11/01/2017,14694.00,0.10,2.958121,2.958121
24564a57-959d-4214-8e07-94a14f121a91.csv,3,11/01/2017 to 29/11/2016,10997.00,0.10,2.862176,2.862176
24564a57-959d-4214-8e07-94a14f121a91.csv,4,29/11/2016 to 16/10/2016,14089.00,0.10,2.943909,2.943909
24564a57-959d-4214-8e07-94a14f121a91.csv,5,16/10/2016 to 03/09/2016,9196.00,0.10,2.506761,2.506761
24564a57-959d-4214-8e07-94a14f121a91.csv,6,03/09/2016 to 22/07/2016,7789.00,0.10,2.376204,2.376204
24564a57-959d-4214-8e07-94a14f121a91.csv,7,21/07/2016 to 07/06/2016,7307.00,0.10,2.372199,2.372199
24564a57-959d-4214-8e07-94a14f121a91.csv,8,07/06/2016 to 25/04/2016,6377.00,0.10,2.284970,2.284970
24564a57-959d-4214-8e07-94a14f121a91.csv,9,25/04/2016 to 11/03/2016,7096.00,0.10,2.380794,2.380794
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,0,19/05/2017 to 07/04/2017,8993.00,0.10,3.994774,3.994774
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,1,07/04/2017 to 23/02/2017,9458.00,0.10,4.114801,4.114801
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,2,23/02/2017 to 11/01/2017,9915.00,0.10,3.940804,3.940804
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,3,11/01/2017 to 29/11/2016,9775.00,0.10,4.166190,4.166190
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,4,29/11/2016 to 17/10/2016,6178.00,0.10,3.305825,3.305825
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,5,17/10/2016 to 04/09/2016,5735.00,0.10,3.042577,3.042577
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,6,04/09/2016 to 22/07/2016,5962.00,0.10,3.121827,3.121827
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,7,22/07/2016 to 08/06/2016,6840.00,0.10,3.472684,3.472684
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,8,08/06/2016 to 25/04/2016,7293.00,0.10,3.563814,3.563814
2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,9,25/04/2016 to 12/03/2016,6634.00,0.10,3.570453,3.570453
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,0,19/05/2017 to 06/04/2017,13139.00,0.10,3.747869,3.747869
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,1,06/04/2017 to 20/02/2017,13145.00,0.10,3.864054,3.864054
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,2,20/02/2017 to 07/01/2017,14182.00,0.10,3.948987,3.948987
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,3,07/01/2017 to 25/11/2016,13166.00,0.10,4.054590,4.054590
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,4,25/11/2016 to 14/10/2016,15446.00,0.10,4.345057,4.345057
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,5,14/10/2016 to 01/09/2016,14772.00,0.10,4.141495,4.141495
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,6,01/09/2016 to 19/07/2016,14710.00,0.10,4.181231,4.181231
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,7,19/07/2016 to 05/06/2016,13801.00,0.10,3.958815,3.958815
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,8,05/06/2016 to 23/04/2016,13604.00,0.10,3.992854,3.992854
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,9,23/04/2016 to 09/03/2016,13770.00,0.10,4.082467,4.082467
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,0,19/05/2017 to 07/04/2017,9420.00,0.10,3.651095,3.651095
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,1,07/04/2017 to 21/02/2017,9442.00,0.10,3.617965,3.617965
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,2,21/02/2017 to 10/01/2017,11732.00,0.10,3.838925,3.838925
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,3,10/01/2017 to 28/11/2016,11665.00,0.10,4.090421,4.090421
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,4,28/11/2016 to 17/10/2016,10735.00,0.10,4.213044,4.213044
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,5,17/10/2016 to 04/09/2016,6991.00,0.10,2.788951,2.788951
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,6,04/09/2016 to 23/07/2016,9895.00,0.10,3.864303,3.864303
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,7,23/07/2016 to 10/06/2016,9907.00,0.10,3.739816,3.739816
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,8,10/06/2016 to 26/04/2016,8632.00,0.10,3.316415,3.316415
2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,9,26/04/2016 to 13/03/2016,10329.00,0.10,3.754444,3.754444
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,0,19/05/2017 to 06/04/2017,6737.00,0.10,2.506455,2.506455
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,1,06/04/2017 to 20/02/2017,4884.00,0.10,2.301486,2.301486
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,2,20/02/2017 to 08/01/2017,2989.00,0.10,1.554522,1.554522
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,3,08/01/2017 to 27/11/2016,3215.00,0.10,1.906814,1.906814
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,4,27/11/2016 to 15/10/2016,7464.00,0.10,3.119603,3.119603
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,5,15/10/2016 to 02/09/2016,7483.00,0.10,2.937772,2.937772
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,6,02/09/2016 to 21/07/2016,6238.00,0.10,2.684851,2.684851
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,7,21/07/2016 to 07/06/2016,6375.00,0.10,2.622820,2.622820
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,8,07/06/2016 to 24/04/2016,6054.00,0.10,2.687587,2.687587
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,9,24/04/2016 to 11/03/2016,6401.00,0.10,2.731270,2.731270
364b9911-6859-464e-a5e3-41149f8e2986.csv,0,19/05/2017 to 06/04/2017,18201.00,0.10,4.524916,4.524916
