Episode,HouseholdID,Total Reward,Selected Encryption Ratio,Average Attack Duration,Average ASR Mean,Sum Remaining Entropy,Average Memory MiB,Summation Error,Deviation Error,Encryption Time,Decryption Time,Summation Operations Time,Deviation Operations Time
1,9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,-2.0682554,0.2,0.017611196178711985,0.9708108108108106,0.10971966439578634,0.0,2.41560116776881e-05,9.795336586423261e-13,0.20966216311606173,0.0,0.0,0.7991719574519208
2,cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,-1.0215437,0.2,0.017611196178711985,0.9708108108108106,0.07185544331179941,0.0,1.0936234911547778e-05,2.431346107607929e-12,0.0,0.0,0.0,0.0
3,85653d39-0e18-411e-abcd-689056140d21.csv,-1.0517316,0.2,0.017611196178711985,0.9708108108108106,0.10203438171737661,0.0,1.9888925205347953e-05,6.214685054026867e-13,0.0,0.0,0.0,0.0
4,b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,-1.3707501,0.4,0.0,0.9663063063063057,0.002598596741365094,0.01098901098901095,1.7738147624327691e-07,1.4402899553497763e-14,0.3908559569692093,0.0,0.0,0.0
5,9dae6241-7566-4dbd-b397-13a64fcc6e6c.csv,-1.7168034,0.1,0.01770567977488524,0.9978378378378377,0.1210788334081887,0.3296703296703296,2.899980541587321e-05,6.041008250394214e-13,0.28943430322025043,0.0,0.0,0.0
6,6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,-1.0853753,0.8,0.29358815625972645,0.40540540540540526,0.03227137918874681,1.0,4.303403644418857e-06,1.4566053097048004e-13,0.0,0.0,0.0,0.0
7,cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,-1.0215437,0.2,0.017611196178711985,0.9708108108108106,0.07185544331179941,0.0,1.0936234911547778e-05,2.431346107607929e-12,0.0,0.0,0.0,0.0
8,d0d09ece-30bb-431f-b812-4e39bfb33198.csv,0.24935834,0.9,1.0000000000000004,0.0,0.030439787026972122,0.5384615384615383,1.1025958623148257e-05,2.5663939338451765e-13,0.28877782954272724,0.0,0.0,0.0929514726404022
9,1fe45385-e790-4855-a2fe-7284313ec322.csv,-1.7174946,0.8,0.29358815625972645,0.40540540540540526,0.042233517585041416,1.0,1.1344386281232968e-05,5.509355271515681e-13,0.0,0.0,0.0,0.6221501381611171
10,2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,-3.1568108,0.5,0.00014911052827026872,0.9954954954954952,0.057911318127221806,0.7252747252747254,1.6694119542508819e-06,3.7704109758741405e-13,0.44453150367766436,0.0,0.0,0.9337750792462595
11,3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,-1.9836729,0.2,0.017611196178711985,0.9708108108108106,0.033996332347916665,0.0,0.9999990964200647,1.3358168388985795e-13,0.0,0.0,0.0,0.0
12,2aa6ee4b-eadb-4d51-9737-8cf5de22210a.csv,-2.2895882,0.5,0.00014911052827026872,0.9954954954954952,0.08485346523272383,0.7252747252747254,2.8270489914718458e-06,6.413859017242483e-13,0.28954018607146387,0.0,0.19460044405470456,0.0
13,60db3556-743a-4cc2-975a-4ff4c9ad1a55.csv,-0.9921416,0.4,0.0,0.9663063063063057,0.014844378782437138,0.01098901098901095,1.8911931667010754e-06,1.7004656575504275e-13,0.0,0.0,0.0,0.0
14,2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,-1.0352118,0.4,0.0,0.9663063063063057,0.0579113181272218,0.01098901098901095,5.205008244304192e-06,3.520325668393498e-13,0.0,0.0,0.0,0.0
15,2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,-1.1727346,0.8,0.29358815625972645,0.40540540540540526,0.03797749701087336,1.0,7.736463727457892e-06,4.2153299469871753e-13,0.08164979599904,0.0,0.0,0.0
16,b62dd682-92d6-4d55-a406-dbab9268388f.csv,-1.903199,0.8,0.29358815625972645,0.40540540540540526,0.05188494054532254,1.0,1.30422140666657e-05,9.209528157515547e-13,0.7982014033007214,0.0,0.0,0.0
17,09967234-a409-420a-bc5a-1474bb4790f3.csv,-1.7601365,0.8,0.29358815625972645,0.40540540540540526,0.06409021313992172,1.0,2.078469441129411e-05,1.5315314753398164e-12,0.20782686036169581,0.0,0.43509897942049,0.0
18,e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,-1.0774503,0.8,0.29358815625972645,0.40540540540540526,0.02434448993593844,1.0,6.176782549573526e-06,3.119821213235417e-13,0.0,0.0,0.0,0.0
19,dbffe40c-8549-4d27-9b68-a3f1b580f28c.csv,-1.8549687,0.7,0.026876499138208998,0.9594594594594591,0.09844678738337903,0.10989010989010994,6.246626052669915e-06,1.1280636475301288e-12,0.29514491832902745,0.0,0.1868668022463944,0.23740608278577172
20,1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,-1.8177989,0.5,0.00014911052827026872,0.9954954954954952,0.09720648069937718,0.7252747252747254,1.0300557548973616e-06,1.987403444476633e-12,0.0,0.0,0.0,0.0
21,f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,-1.8174113,0.5,0.00014911052827026872,0.9954954954954952,0.09681871318503912,0.7252747252747254,1.361694599740424e-06,9.497192437388228e-13,0.0,0.0,0.0,0.0
22,58c609ee-7ae8-4fbe-8083-d917fa3e8246.csv,-2.8324022,0.2,0.017611196178711985,0.9708108108108106,0.04292176831085045,0.0,3.0341873519869023e-06,1.1138641981764206e-13,0.1442830319201502,0.0,0.8497583819989925,0.8457585923276683
