approach,tolerance,ratio,asr,time
none,0.00,0,1.0000,327.7375ms
none,0.00,10,0.9005,18.1443471s
none,0.00,20,0.8031,34.0161052s
none,0.00,30,0.7021,47.0018789s
none,0.00,40,0.6063,58.8837305s
none,0.00,50,0.5003,1m8.4119456s
none,0.00,60,0.4005,1m17.5059878s
none,0.00,70,0.3052,1m26.9259496s
none,0.00,80,0.2068,1m37.8409589s
none,0.00,90,0.1009,1m49.9629115s
adaptive,0.00,0,1.0000,314.8257ms
adaptive,0.00,10,0.9005,15.0103829s
adaptive,0.00,20,0.8031,28.8098624s
adaptive,0.00,30,0.7021,42.2345761s
adaptive,0.00,40,0.6063,54.0049999s
adaptive,0.00,50,0.5003,1m4.939612s
adaptive,0.00,60,0.4005,1m15.0458926s
adaptive,0.00,70,0.3052,1m26.0931496s
adaptive,0.00,80,0.2068,1m35.7771419s
adaptive,0.00,90,0.1009,1m44.5655923s
adaptive,0.01,0,0.0000,325.8421ms
adaptive,0.01,10,0.0000,15.3530283s
adaptive,0.01,20,0.0000,29.8946683s
adaptive,0.01,30,0.0000,42.852974s
adaptive,0.01,40,0.0000,55.5859678s
adaptive,0.01,50,0.0000,1m8.6022851s
adaptive,0.01,60,0.0000,1m19.3409542s
adaptive,0.01,70,0.0000,1m27.1602318s
adaptive,0.01,80,0.0000,1m38.6543877s
adaptive,0.01,90,0.0000,1m47.0884021s
adaptive,0.02,0,0.0000,317.3266ms
adaptive,0.02,10,0.0000,15.5872753s
adaptive,0.02,20,0.0000,29.4764421s
adaptive,0.02,30,0.0000,43.8026956s
adaptive,0.02,40,0.0000,55.4323973s
adaptive,0.02,50,0.0000,1m8.695142s
adaptive,0.02,60,0.0000,1m15.7621083s
adaptive,0.02,70,0.0000,1m26.1322182s
adaptive,0.02,80,0.0000,1m36.9808296s
adaptive,0.02,90,0.0000,1m45.2763103s
adaptive,0.03,0,0.0000,325.2554ms
adaptive,0.03,10,0.0000,16.6327881s
adaptive,0.03,20,0.0000,29.2530409s
adaptive,0.03,30,0.0000,42.6718861s
adaptive,0.03,40,0.0000,55.1104346s
adaptive,0.03,50,0.0000,1m6.9766714s
adaptive,0.03,60,0.0000,1m16.1064365s
adaptive,0.03,70,0.0000,1m27.5040344s
adaptive,0.03,80,0.0000,1m36.9609679s
adaptive,0.03,90,0.0000,1m47.479516s
adaptive,0.10,0,0.0000,320.2312ms
adaptive,0.10,10,0.0000,15.0646859s
adaptive,0.10,20,0.0000,29.4686742s
adaptive,0.10,30,0.0000,41.993452s
adaptive,0.10,40,0.0000,53.9411398s
adaptive,0.10,50,0.0000,1m5.7082805s
adaptive,0.10,60,0.0000,1m15.294122s
adaptive,0.10,70,0.0000,1m24.9413853s
adaptive,0.10,80,0.0000,1m35.8501466s
adaptive,0.10,90,0.0000,1m46.9137328s
adaptive,0.20,0,0.0000,347.0567ms
adaptive,0.20,10,0.0000,15.6164929s
adaptive,0.20,20,0.0000,29.8428783s
adaptive,0.20,30,0.0000,43.0573526s
adaptive,0.20,40,0.0000,54.238206s
adaptive,0.20,50,0.0000,1m6.9098813s
adaptive,0.20,60,0.0000,1m15.7897001s
adaptive,0.20,70,0.0000,1m25.7863813s
adaptive,0.20,80,0.0000,1m34.8219987s
adaptive,0.20,90,0.0000,1m42.845719s
adaptive,0.30,0,0.0000,340.6646ms
adaptive,0.30,10,0.0000,15.2386286s
adaptive,0.30,20,0.0000,29.5308177s
adaptive,0.30,30,0.0000,41.8545396s
adaptive,0.30,40,0.0000,54.9573488s
adaptive,0.30,50,0.0000,1m8.0926771s
adaptive,0.30,60,0.0000,1m17.8740003s
adaptive,0.30,70,0.0000,1m26.2820023s
adaptive,0.30,80,0.0000,1m40.1667651s
adaptive,0.30,90,0.0000,1m42.845719s
adaptive,0.40,0,0.0000,320.9494ms
adaptive,0.40,10,0.0000,15.9092741s
adaptive,0.40,20,0.0000,29.328378s
adaptive,0.40,30,0.0000,42.7165866s
adaptive,0.40,40,0.0000,55.4184177s
adaptive,0.40,50,0.0000,1m7.8699848s
adaptive,0.40,60,0.0000,1m18.4290068s
adaptive,0.40,70,0.0000,1m27.119449s
adaptive,0.40,80,0.0000,1m36.0147208s
adaptive,0.40,90,0.0000,1m48.9376502s
adaptive,0.50,0,0.0000,325.6485ms
adaptive,0.50,10,0.0000,16.1247645s
adaptive,0.50,20,0.0000,29.8157415s
adaptive,0.50,30,0.0000,43.5593658s
adaptive,0.50,40,0.0000,54.7165694s
adaptive,0.50,50,0.0000,1m7.2895719s
adaptive,0.50,60,0.0000,1m19.077231s
adaptive,0.50,70,0.0000,1m27.9013502s
adaptive,0.50,80,0.0000,1m35.0437167s
adaptive,0.50,90,0.0000,1m46.5820366s
adaptive,0.60,0,0.0000,332.5903ms
adaptive,0.60,10,0.0000,15.719277s
adaptive,0.60,20,0.0000,29.6759951s
adaptive,0.60,30,0.0000,42.3991739s
adaptive,0.60,40,0.0000,54.198303s
adaptive,0.60,50,0.0000,1m5.7574352s
adaptive,0.60,60,0.0000,1m16.1954317s
adaptive,0.60,70,0.0000,1m27.009619s
adaptive,0.60,80,0.0000,1m37.6064518s
adaptive,0.60,90,0.0000,1m45.1056426s
adaptive,0.70,0,0.0000,346.113ms
adaptive,0.70,10,0.0000,16.3338591s
adaptive,0.70,20,0.0000,28.7429153s
adaptive,0.70,30,0.0000,42.1563439s
adaptive,0.70,40,0.0000,54.4762467s
adaptive,0.70,50,0.0000,1m5.122184s
adaptive,0.70,60,0.0000,1m16.9517254s
adaptive,0.70,70,0.0000,1m26.6458803s
adaptive,0.70,80,0.0000,1m35.9690812s
adaptive,0.70,90,0.0000,1m45.4379237s
adaptive,0.80,0,0.0000,365.0829ms
adaptive,0.80,10,0.0000,15.6408736s
adaptive,0.80,20,0.0000,29.5122612s
adaptive,0.80,30,0.0000,42.7574874s
adaptive,0.80,40,0.0000,57.1517881s
adaptive,0.80,50,0.0000,1m6.936508s
adaptive,0.80,60,0.0000,1m19.6263691s
adaptive,0.80,70,0.0000,1m32.9487589s
adaptive,0.80,80,0.0000,1m48.0054976s
adaptive,0.80,90,0.0000,1m47.6785676s
adaptive,0.90,0,0.0000,404.775ms
adaptive,0.90,10,0.0000,15.9741855s
adaptive,0.90,20,0.0000,30.8006126s
adaptive,0.90,30,0.0000,43.2164975s
adaptive,0.90,40,0.0000,53.9694911s
adaptive,0.90,50,0.0000,1m5.8667384s
adaptive,0.90,60,0.0000,1m16.3135541s
adaptive,0.90,70,0.0000,1m26.8383307s
adaptive,0.90,80,0.0000,1m36.9431848s
adaptive,0.90,90,0.0000,1m50.1309142s
