filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,reidentification_mean,reidentification_standard_error,reidentification_attack_duration,avg_time_per_reidentification_attack_run,allocated_memory_MiB
MAC000017.csv,3,2012-04-12 to 2012-05-25,232.81,0.30,8.138134,4.886657,0.004938,0.000193,148.197469,0.148197,123.00
MAC000166.csv,7,2012-09-18 to 2012-10-30,374.82,0.30,8.741888,5.545200,0.004938,0.000193,148.197469,0.148197,123.00
MAC000185.csv,8,2012-11-02 to 2012-12-15,248.12,0.50,7.297393,1.985682,0.000000,0.000000,14.832863,0.014833,126.00
MAC000253.csv,7,2012-09-27 to 2012-11-08,521.31,0.50,8.925907,2.554760,0.000000,0.000000,14.832863,0.014833,126.00
MAC000244.csv,4,2012-05-21 to 2012-07-02,299.17,0.60,7.970339,0.739557,0.000000,0.000000,14.798131,0.014798,113.00
MAC000167.csv,8,2012-10-30 to 2012-12-12,335.05,0.90,8.647160,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000207.csv,0,2011-11-29 to 2012-01-11,713.39,0.90,8.911636,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000055.csv,1,2012-01-21 to 2012-03-03,641.02,0.10,8.791961,6.234918,0.010037,0.000157,153.111110,0.153111,118.00
MAC000160.csv,0,2011-11-24 to 2012-01-06,258.52,0.10,7.484728,4.750004,0.010037,0.000157,153.111110,0.153111,118.00
MAC000272.csv,2,2012-02-29 to 2012-04-12,409.75,0.30,8.608032,5.563924,0.004938,0.000193,148.197469,0.148197,123.00
MAC000049.csv,1,2012-01-20 to 2012-03-02,2171.09,0.70,9.687190,3.905559,0.000000,0.000000,14.794535,0.014795,98.00
MAC000160.csv,2,2012-02-17 to 2012-03-31,292.08,0.90,7.479986,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000219.csv,0,2011-11-30 to 2012-01-12,314.85,0.90,8.242436,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000222.csv,1,2012-01-13 to 2012-02-24,1289.50,0.90,8.616951,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000253.csv,3,2012-04-09 to 2012-05-22,487.48,0.90,8.951787,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000017.csv,7,2012-09-30 to 2012-11-11,286.29,0.20,8.422373,5.355709,0.007513,0.000194,150.174340,0.150174,107.00
MAC000186.csv,9,2012-12-16 to 2013-01-28,195.99,0.20,7.848352,4.702062,0.007513,0.000194,150.174340,0.150174,107.00
MAC000252.csv,8,2012-11-08 to 2012-12-21,1501.48,0.40,9.395039,3.609762,0.002475,0.000158,147.637229,0.147637,116.00
MAC000191.csv,5,2012-06-28 to 2012-08-10,553.10,0.70,8.359150,2.366276,0.000000,0.000000,14.794535,0.014795,98.00
MAC000153.csv,1,2012-01-05 to 2012-02-16,1845.28,0.80,9.653826,0.745126,0.000000,0.000000,14.854397,0.014854,93.00
MAC000159.csv,7,2012-09-18 to 2012-10-31,424.26,0.10,8.381076,5.675209,0.010037,0.000157,153.111110,0.153111,118.00
MAC000187.csv,6,2012-08-10 to 2012-09-22,312.09,0.10,8.392536,5.538890,0.010037,0.000157,153.111110,0.153111,118.00
MAC000244.csv,2,2012-02-25 to 2012-04-08,315.17,0.30,7.909471,4.470170,0.004938,0.000193,148.197469,0.148197,123.00
MAC004539.csv,8,2012-11-26 to 2013-01-08,303.74,0.30,8.525993,5.342852,0.004938,0.000193,148.197469,0.148197,123.00
MAC000226.csv,2,2012-02-24 to 2012-04-07,586.60,0.40,9.106960,3.044577,0.002475,0.000158,147.637229,0.147637,116.00
MAC000150.csv,3,2012-03-30 to 2012-05-12,421.31,0.50,8.363249,1.987331,0.000000,0.000000,14.832863,0.014833,126.00
MAC000190.csv,2,2012-02-21 to 2012-04-04,292.33,0.80,8.184365,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000207.csv,2,2012-02-22 to 2012-04-05,776.26,0.90,9.236848,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000055.csv,0,2011-12-09 to 2012-01-21,618.50,0.10,8.773690,6.157102,0.010037,0.000157,153.111110,0.153111,118.00
MAC000180.csv,4,2012-05-15 to 2012-06-26,403.89,0.10,8.071580,5.342825,0.010037,0.000157,153.111110,0.153111,118.00
MAC000173.csv,6,2012-08-07 to 2012-09-19,197.05,0.20,7.929989,4.748968,0.007513,0.000194,150.174340,0.150174,107.00
MAC000160.csv,9,2012-12-12 to 2013-01-24,272.30,0.50,7.501007,2.126766,0.000000,0.000000,14.832863,0.014833,126.00
MAC000255.csv,8,2012-11-08 to 2012-12-21,740.56,0.50,8.976238,2.824215,0.000000,0.000000,14.832863,0.014833,126.00
MAC000274.csv,9,2012-12-24 to 2013-02-05,2310.36,0.50,9.516112,3.693133,0.000000,0.000000,14.832863,0.014833,126.00
MAC000150.csv,8,2012-10-29 to 2012-12-11,410.17,0.60,8.364358,1.537323,0.000000,0.000000,14.798131,0.014798,113.00
