filename,encryption_ratio,summation_error,deviation_error,encryption_time_ns,decryption_time_ns,summation_operations_time_ns,deviation_operations_time_ns
MAC000015.csv,0.10,3546.171154,-0.328628,999700,0,1327500,992400
MAC000017.csv,0.10,2430.661923,-0.088393,0,0,0,997800
MAC000024.csv,0.10,7282.398769,-1.317281,999400,0,1533900,999800
MAC000033.csv,0.10,2931.264923,-0.044276,0,0,1041600,1154900
MAC000034.csv,0.10,8313.465231,-6.077359,1000000,0,1000200,1056300
MAC000044.csv,0.10,4438.772154,-0.233501,0,0,0,0
MAC000046.csv,0.10,4146.415615,-0.377020,1003600,0,999900,1754100
MAC000047.csv,0.10,2223.785692,-0.009486,1669100,0,999900,1016100
MAC000049.csv,0.10,12870.402154,-2.514604,1084400,0,1000100,1020900
MAC000055.csv,0.10,3933.869154,-0.201934,0,0,0,998700
MAC000066.csv,0.10,2595.129154,-0.039527,1005400,0,2000200,1010100
MAC000067.csv,0.10,2996.592154,-0.049518,0,0,0,990300
MAC000069.csv,0.10,2991.628923,-0.038871,0,0,1003200,1009500
MAC000108.csv,0.10,1346.302462,-0.015477,1187300,0,1267900,990400
MAC000145.csv,0.10,3381.017923,-0.117460,0,0,1039300,0
MAC000147.csv,0.10,2654.208154,-0.104225,1035400,0,2041500,1538500
MAC000150.csv,0.10,2730.086692,-0.192159,0,0,1312800,1042900
MAC000151.csv,0.10,1419.512462,-0.013490,1215900,0,0,999900
MAC000152.csv,0.10,2740.766923,-0.276190,0,0,1145200,995600
MAC000153.csv,0.10,9732.920231,-1.321241,1049700,0,990200,990000
MAC000155.csv,0.10,3999.685385,-0.220876,0,0,1009600,1014500
MAC000158.csv,0.10,1571.963462,-0.025306,1009500,0,1000100,990800
MAC000159.csv,0.10,3737.968154,-0.130035,0,0,1000200,1078900
MAC000160.csv,0.10,2542.524692,-0.098756,1000100,0,0,1227800
MAC000162.csv,0.10,1990.614462,-0.025150,0,0,1614600,1329700
MAC000163.csv,0.10,3615.600154,-0.349711,0,0,0,511600
MAC000166.csv,0.10,3861.521923,-0.100602,0,0,1563300,1147900
MAC000167.csv,0.10,1615.152000,-0.002974,1911600,0,1029300,1034800
MAC000169.csv,0.10,2498.303923,-0.085675,1300000,0,0,999900
MAC000170.csv,0.10,3988.607923,-0.121802,0,0,1000300,1009900
MAC000171.csv,0.10,1072.968231,-0.050163,1055000,0,1243400,990100
MAC000173.csv,0.10,2241.833923,-0.055678,0,0,989300,1009900
MAC000174.csv,0.10,6719.507615,-0.418613,999800,0,1010700,1000000
