Episode,HouseholdID,Total Reward,Selected Encryption Ratio,Scaled Average Attack Duration,Scaled Average ASR Mean,Scaled Sum Remaining Entropy,Scaled Average Memory MiB,Scaled Summation Error,Scaled Deviation Error,Scaled Encryption Time,Scaled Decryption Time,Scaled Summation Operations Time,Scaled Deviation Operations Time,Average Attack Duration,Average ASR Mean,Sum Remaining Entropy,Average Memory MiB,Summation Error,Deviation Error,Encryption Time,Decryption Time,Summation Operations Time,Deviation Operations Time
1,MAC000147.csv,-1.8903755,0.1,0.006848274631899218,0.9924854557207499,-0.4563694957159603,0.29629629629629584,0.19604131346456988,0.010042111381974281,0.0,0.0,0.4635718592032649,0.3951561756778183,0.7935230000000001,0.012283,52.906751,110.0,2654.208154,-0.104225,0,0,999600,996900
2,MAC000211.csv,-1.060339,0.8,0.18955434705181867,0.0,-0.6796790379110738,1.0,0.21476919536754355,0.009452365156777975,0.3150305105395272,0.0,0.0,0.3903202790550182,9.214153,0.0,0.20915899999999998,129.0,-2907.522385,-0.098229,2999500,0,0,984700
3,MAC000176.csv,0.0429647,0.9,0.19228006563126937,0.0,-0.680565363049725,0.0,0.18871876984827013,0.002344526479320277,0.43943579133101573,0.0,0.0,0.19938163944823212,9.339777,0.0,0.0,102.0,-2555.163077,-0.025963,4184000,0,0,503000
4,MAC000209.csv,0.057986483,0.4,0.5124179736604856,0.42420814479638,-0.630959699532138,0.03703703703703676,0.017273662171680002,0.00033411739943159716,0.2100343440496571,0.0,0.0,0.396503884572697,24.094420000000003,0.0052499999999999995,11.706167999999998,103.0,-236.188308,-0.005523,1999800,0,0,1000300
5,MAC000177.csv,-0.2260117,0.9,0.19228006563126937,0.0,-0.680565363049725,0.0,0.195851889769976,0.00876740973445191,0.31536659909886255,0.6212093023255815,0.603719334044428,0.5963611859838275,9.339777,0.0,0.0,102.0,-2651.646,-0.091265,3002700,1001700,1301800,1504500
6,MAC000211.csv,-0.9219725,0.6,0.7386428519091257,0.29088558500323203,-0.589693096206918,0.40740740740740744,0.08880230952619877,0.009776056755697428,0.26908090281789254,0.0,0.7907063024625516,0.39364991279530676,34.520762,0.0036,21.444446999999997,113.0,-1203.688231,-0.10152,2562000,0,1705000,993100
7,MAC000151.csv,-0.9709242,0.2,1.734723475976807e-18,1.0,-0.49141390240255867,0.37037037037037024,0.09096943859694664,0.0009983195773419814,0.0,0.0,0.0,0.0,0.4778970000000001,0.012376,44.636813999999994,112.0,1233.000923,-0.012276,0,0,0,0
8,MAC000049.csv,-2.2581997,0.8,0.18955434705181867,0.0,-0.6489691742728229,1.0,0.7327556787154541,0.1747915946409418,0.31706804743049793,0.0,0.48527570375179707,0.38683209132709684,9.214153,0.0,7.456211,129.0,-9913.832462,-1.779247,3018900,0,1046400,975900
9,MAC000239.csv,-1.618054,0.3,0.007528923169100456,0.9957175177763413,-0.4599562439069623,0.03703703703703676,0.09603079529258128,0.00442624410044767,0.15797212565511012,0.0,0.0,0.7943554780402726,0.824893,0.012323,52.060334,103.0,1301.461077,-0.047128,1504100,0,0,2004000
10,MAC000194.csv,-0.7400178,0.9,0.19228006563126937,0.0,-0.680565363049725,0.0,0.2248744381717903,0.021828970643994815,0.2620125403043702,0.0,0.49779715252979645,0.6063500872046932,9.339777,0.0,0.0,102.0,-3044.206385,-0.224063,2494700,0,1073400,1529700
