Episode,HouseholdID,Total Reward,Selected Encryption Ratio,Scaled Average Attack Duration,Scaled Average ASR Mean,Scaled Sum Remaining Entropy,Scaled Average Memory MiB,Scaled Summation Error,Scaled Deviation Error,Scaled Encryption Time,Scaled Decryption Time,Scaled Summation Operations Time,Scaled Deviation Operations Time,Average Attack Duration,Average ASR Mean,Sum Remaining Entropy,Average Memory MiB,Summation Error,Deviation Error,Encryption Time,Decryption Time,Summation Operations Time,Deviation Operations Time
1,4583f609-85f6-43b2-bba6-2606ac495279.csv,-2.0738766,0.2,0.06130258964899471,0.880281690140845,0.0919753308041163,0.0,1.958619149464697e-05,6.076587085578345e-13,0.0,0.0,0.39057922899660197,0.7723234869209726,37.635664000000006,0.009475,39.265072,134.0,83152.923077,-296.890792,0,0,1000000,2512600
2,128c9821-8849-46d6-a7a7-5709ec799f94.csv,-2.6191018,0.3,0.0,0.935979513444301,0.04349378777295858,0.590909090909091,3.427442157448658e-06,2.0403725192089763e-12,0.27677255535628675,0.0,0.46459399289145803,0.30734946054775153,36.307954,0.009562,19.038023,186.0,14564.615385,-996.888228,1558700,0,1189500,999900
3,90e31bb3-97af-4ed9-b6a1-198615fade1d.csv,-3.008072,0.8,0.43657799212514425,0.6562099871959006,0.06120628138551817,1.0000000000000002,1.6789461180170856e-05,1.0468080238254533e-12,0.7120407692171103,0.0,0.3990938561887279,0.6160821319890573,45.763492,0.009124999999999998,26.427875999999998,222.0,-71281.769231,-511.451015,4010000,0,1021800,2004300
4,2c6c0f07-5a00-4a34-9bfd-30beee6d57c2.csv,-1.7369685,0.5,0.1936979639493437,0.7042253521126751,0.08624755489321817,0.7386363636363635,1.6842903966223621e-06,9.576468835443026e-13,0.35692597261928016,0.6554390563564876,0.39268835683318365,0.3073801985676083,40.503123,0.0092,36.875379,199.0,-7165.538462,-467.888533,2010100,1000200,1005400,1000000
5,d0d09ece-30bb-431f-b812-4e39bfb33198.csv,-2.1037543,0.1,0.018799072983652687,1.0,0.0722181012491154,0.3522727272727273,1.0971537232352983e-05,2.0992177130932308e-13,0.0,0.0,0.39057922899660197,0.30747241262717856,36.715109999999996,0.009662,31.022132000000003,165.0,46586.692308,-102.56389,0,0,1000000,1000300
6,6fffd62f-739b-4202-973d-df2d07470d87.csv,-2.2706313,0.1,0.018799072983652687,1.0,0.05471602617962467,0.3522727272727273,9.131050376435097e-06,2.7766488942052607e-13,0.18076246959177514,0.0,0.3942897316720697,0.3073801985676083,36.715109999999996,0.009662,23.720068,165.0,38774.461538,-135.661923,1018000,0,1009500,1000000
7,9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,-2.5259075,0.3,0.0,0.935979513444301,0.10971966439578634,0.590909090909091,1.5668938697953304e-05,2.035591351504038e-12,0.19136317630555605,0.0,0.3905401710737023,0.3073801985676083,36.307954,0.009562,46.668209000000004,186.0,66525.538462,-994.552238,1077700,0,999900,1000000
8,6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,-2.6426778,0.7,0.11053433459372708,0.7925736235595391,0.05021238768902174,0.09090909090909105,2.16966106245871e-06,1.4787791341596766e-13,0.7102828630786441,0.0,0.4471351013553099,0.6620969477146282,38.70193999999999,0.009338,21.841099,142.0,-9225.769231,-72.25041,4000100,0,1144800,2154000
9,c7f6914b-107e-4a21-b72f-24b473c3e8ec.csv,-3.0587888,0.8,0.43657799212514425,0.6562099871959006,0.053667504795872886,1.0000000000000002,1.4992431698714512e-05,9.001524653753645e-13,0.7154855549833976,0.0,0.45525914931843925,0.6147296591153598,45.763492,0.009124999999999998,23.282613,222.0,-63654.0,-439.797825,4029400,0,1165600,1999900
10,09967234-a409-420a-bc5a-1474bb4790f3.csv,-2.4550257,0.5,0.1936979639493437,0.7042253521126751,0.10558621000437884,0.7386363636363635,1.6125259263313195e-07,1.3098640603278227e-12,0.3551325532254914,0.0,0.3901495918447057,0.3549933913257308,40.503123,0.0092,44.943684999999995,199.0,-700.769231,-639.975323,2000000,0,998900,1154900
