,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.49,0.25144029554194813,0.2483259348937315,0.4060321975498726,123.4,23.310464984160607,58.4008462,2497.7478871685475,-0.3732192,0.06222485371403723,2155410,3732594.8250066824
MAC000252.csv,0.54,0.19550504398153573,0.12578351857414638,0.31767629358574867,120.4,19.951051211513754,-464.38981520000004,3559.5601548963687,-1.2138501,0.12016478423255107,4735120,4357583.982947941
MAC000253.csv,0.49,0.25144029554194813,0.2483259348937315,0.4060321975498726,123.4,23.310464984160607,46.73510769999995,2438.497503979917,-0.1439348,0.01518920595393686,870200,1531270.9238479722
MAC000255.csv,0.54,0.23664319132398465,0.1760701754385965,0.3754493740596584,122.6,19.900865419484763,-641.2579387000001,3457.7891828002107,-0.2604096,0.023736604461838624,5456170,5374665.600771002
MAC000256.csv,0.54,0.19550504398153573,0.12578351857414638,0.31767629358574867,120.4,19.951051211513754,-491.4441695,4077.54859752827,-0.3151454,0.02764357488217952,3897250,4760644.167488728
MAC000258.csv,0.44,0.2011080417199781,0.25234182647453535,0.37003354955725837,113.4,19.511819779587732,273.0211076,1455.5663339080452,-0.1731357,0.006191679956019834,1016000,3212874.1027310733
MAC000271.csv,0.48,0.22997584414213787,0.2232691447702747,0.3780173764163519,112.5,18.536750284532374,111.49293830000002,1647.8365269383987,-0.129718,0.011293178216172019,1686560,2661745.0613376847
MAC000272.csv,0.47000000000000003,0.2406010991015812,0.2483259348937315,0.4060321975498726,117.8,20.454828280872952,507.4358613,1716.5055900561342,-0.1674912,0.016304588827825265,4787340,4674179.010074628
MAC000274.csv,0.58,0.20439612955674522,0.1,0.31622776601683794,122.0,19.20648038785058,-906.6225846,4816.494633458867,-0.6712351,0.07634695088061255,3465590,4695122.07330355
MAC004539.csv,0.46,0.2065591117977289,0.2232691447702747,0.3780173764163519,115.2,22.439053257905314,426.7026001,840.4336392192449,-0.032975199999999996,0.005844139358746029,3116060,3878213.4690544764
