,Average Encryption Ratio,Standard Deviation Encryption Ratio,Average Reidentification Rate,Standard Deviation Reidentification Rate,Average Memory Consumption,Standard Deviation Memory Consumption,Average Summation Error,Standard Deviation Summation Error,Average Deviation Error,Standard Deviation Deviation Error,Average Encryption Time,Standard Deviation Encryption Time
MAC000248.csv,0.5,0.2160246899469287,0.2224290077100568,0.21667375981635556,106.2,16.65199354098148,-430.1495537,1989.3868424008192,-0.3931853,0.038649876449565364,1592560,2881978.230004908
MAC000252.csv,0.54,0.2503331114069145,0.2239533945782404,0.34198250627307447,108.7,14.757672204276963,-598.4656460000001,4088.6463335242233,-1.2403045000000001,0.21513146011489503,3404180,4569838.444700936
MAC000253.csv,0.5,0.2160246899469287,0.2224290077100568,0.21667375981635556,106.2,16.65199354098148,-69.93236910000003,2033.1457829029011,-0.1460727,0.011756610188409851,2429300,3402530.6405674
MAC000255.csv,0.57,0.23118054512532937,0.1730891970473762,0.23474656496978705,107.2,15.725421739619224,-875.9196156,3572.3032528956664,-0.2523959,0.009113874324957028,2437030,3213598.874246062
MAC000256.csv,0.54,0.2503331114069145,0.2239533945782404,0.34198250627307447,108.7,14.757672204276963,-581.1315692000001,4985.432273490813,-0.2938359,0.01858429018433461,2025130,3311253.9696046
MAC000258.csv,0.51,0.20789954839350236,0.19683173808548343,0.1933526060718902,105.3,15.485118304000421,-245.81966160000005,1277.2959295397836,-0.1713476,0.0066618853554297084,1326540,2831230.081784241
MAC000271.csv,0.51,0.20789954839350236,0.19683173808548343,0.1933526060718902,105.3,15.485118304000421,-284.14052289999995,1673.6779269881442,-0.1265568,0.008299684609804297,4030340,3592303.718352457
MAC000272.csv,0.51,0.20789954839350236,0.19683173808548343,0.1933526060718902,105.3,15.485118304000421,27.63535370000009,1683.6450074181462,-0.1667157,0.013435045003025975,282200,892394.7556995166
MAC000274.csv,0.6,0.25819888974716115,0.17519528984008578,0.3349046907894989,111.7,15.158789163019877,-1672.4261076999999,6117.947630964748,-0.6557606,0.10271767991408944,3966610,4955890.406251714
MAC004539.csv,0.43,0.17029386365926402,0.2714654014518201,0.24584957743950198,100.6,11.587349423689037,361.9440614,612.3561159533767,-0.033018,0.00313092435765116,1756880,3288171.4309864617
