approach,tolerance,ratio,asr,time
adaptive,0.00,0,1.0000,1m41.4003782s
adaptive,0.00,10,0.8880,1m49.4905679s
adaptive,0.00,20,0.8210,1m59.7492652s
adaptive,0.00,30,0.6960,2m3.6553443s
adaptive,0.00,40,0.5830,2m4.940522s
adaptive,0.00,50,0.5630,2m16.8892521s
adaptive,0.00,60,0.4250,2m16.3870761s
adaptive,0.00,70,0.2870,2m14.0635042s
adaptive,0.00,80,0.1920,2m16.8328052s
adaptive,0.00,90,0.1070,2m18.0917162s
adaptive,0.10,0,1.0000,1m46.7235558s
adaptive,0.10,10,0.9020,1m56.2436627s
adaptive,0.10,20,0.8010,2m3.6393698s
adaptive,0.10,30,0.6640,2m7.1897432s
adaptive,0.10,40,0.5950,2m10.0415011s
adaptive,0.10,50,0.4810,2m14.6524703s
adaptive,0.10,60,0.4160,2m21.7945204s
adaptive,0.10,70,0.2960,2m21.5571856s
adaptive,0.10,80,0.1860,2m23.0846969s
adaptive,0.10,90,0.1000,2m25.7398139s
adaptive,0.20,0,1.0000,1m47.6696478s
adaptive,0.20,10,0.8940,1m52.9038204s
adaptive,0.20,20,0.8050,2m2.8334274s
adaptive,0.20,30,0.6970,2m8.544815s
adaptive,0.20,40,0.5760,2m9.4947479s
adaptive,0.20,50,0.5020,2m15.4617113s
adaptive,0.20,60,0.4130,2m19.0327106s
adaptive,0.20,70,0.2980,2m49.1493895s
adaptive,0.20,80,0.1940,2m55.4103349s
adaptive,0.20,90,0.1060,3m5.1987889s
adaptive,0.30,0,1.0000,1m56.8791185s
adaptive,0.30,10,0.8860,2m11.8262418s
adaptive,0.30,20,0.8130,2m25.5396751s
adaptive,0.30,30,0.6950,3m20.9826867s
adaptive,0.30,40,0.5950,3m13.9592485s
adaptive,0.30,50,0.5250,3m30.4530688s
adaptive,0.30,60,0.3790,3m25.2836054s
adaptive,0.30,70,0.3020,3m45.332192s
adaptive,0.30,80,0.1690,3m33.1262933s
adaptive,0.30,90,0.1050,3m47.5011379s
adaptive,0.40,0,1.0000,2m41.2595064s
adaptive,0.40,10,0.9060,2m51.3779749s
adaptive,0.40,20,0.8110,3m4.4686489s
adaptive,0.40,30,0.6910,3m17.1585383s
adaptive,0.40,40,0.5880,3m6.3377335s
adaptive,0.40,50,0.5380,3m17.0897568s
adaptive,0.40,60,0.3790,3m27.8889664s
adaptive,0.40,70,0.2940,3m18.1747523s
adaptive,0.40,80,0.2110,3m25.7872971s
adaptive,0.40,90,0.1040,3m26.2557075s
adaptive,0.50,0,1.0000,2m25.6952792s
adaptive,0.50,10,0.9130,2m38.4566167s
adaptive,0.50,20,0.8250,2m56.0500882s
adaptive,0.50,30,0.7140,2m58.5675792s
adaptive,0.50,40,0.5760,3m0.7328801s
adaptive,0.50,50,0.5160,3m12.1519232s
adaptive,0.50,60,0.3970,3m14.4827617s
adaptive,0.50,70,0.3280,3m19.6168464s
adaptive,0.50,80,0.2060,3m25.5037703s
adaptive,0.50,90,0.0990,3m26.098581s
adaptive,0.60,0,1.0000,2m22.6548208s
adaptive,0.60,10,0.9120,2m46.7755911s
adaptive,0.60,20,0.7850,2m43.3875801s
adaptive,0.60,30,0.6940,2m59.0895523s
adaptive,0.60,40,0.5830,3m0.8698655s
adaptive,0.60,50,0.4630,3m7.1892237s
adaptive,0.60,60,0.3860,3m16.425616s
adaptive,0.60,70,0.2980,3m21.3537968s
adaptive,0.60,80,0.1820,3m20.2495915s
adaptive,0.60,90,0.0990,3m26.56827s
adaptive,0.70,0,1.0000,2m24.1219277s
adaptive,0.70,10,0.9190,2m39.7290582s
adaptive,0.70,20,0.8060,2m46.1420549s
adaptive,0.70,30,0.7250,2m56.0734713s
adaptive,0.70,40,0.5890,2m58.9202358s
adaptive,0.70,50,0.4930,3m9.0803503s
adaptive,0.70,60,0.3870,3m11.499738s
adaptive,0.70,70,0.3160,3m25.9534057s
adaptive,0.70,80,0.1760,3m24.8048916s
adaptive,0.70,90,0.1090,3m27.6647899s
adaptive,0.80,0,1.0000,2m22.657627s
adaptive,0.80,10,0.8970,2m37.9609967s
adaptive,0.80,20,0.8050,2m47.1891091s
adaptive,0.80,30,0.6870,3m0.2278951s
adaptive,0.80,40,0.6230,3m16.6583562s
adaptive,0.80,50,0.5220,3m22.4699614s
adaptive,0.80,60,0.4030,3m20.5286735s
adaptive,0.80,70,0.3010,3m26.3567241s
adaptive,0.80,80,0.2140,3m34.6686348s
adaptive,0.80,90,0.0950,3m41.9678606s
adaptive,0.90,0,1.0000,2m29.8753196s
adaptive,0.90,10,0.8860,2m44.6385222s
adaptive,0.90,20,0.7800,2m51.312981s
adaptive,0.90,30,0.7130,3m0.1498161s
adaptive,0.90,40,0.6010,3m12.6922389s
adaptive,0.90,50,0.4920,3m23.5766258s
adaptive,0.90,60,0.4040,3m29.7896091s
adaptive,0.90,70,0.3350,3m35.207356s
adaptive,0.90,80,0.1950,3m42.8486845s
adaptive,0.90,90,0.0850,3m44.4190203s
