approach,tolerance,ratio,asr,time
adaptive,0.01,0,0.3561,13m39.8489657s
adaptive,0.01,10,0.2728,11m42.4718406s
adaptive,0.01,20,0.1896,10m13.6758855s
adaptive,0.01,30,0.1313,7m47.8941892s
adaptive,0.01,40,0.0947,5m36.7054923s
adaptive,0.01,50,0.0634,4m2.5140843s
adaptive,0.01,60,0.0430,3m50.1645102s
adaptive,0.01,70,0.0343,3m27.0229346s
adaptive,0.01,80,0.0153,2m58.8549943s
adaptive,0.01,90,0.0060,2m52.6681753s
adaptive,0.02,0,0.1446,5m22.8530621s
adaptive,0.02,10,0.0885,3m47.6573932s
adaptive,0.02,20,0.0454,2m27.0780609s
adaptive,0.02,30,0.0249,1m49.8536092s
adaptive,0.02,40,0.0172,2m16.663532s
adaptive,0.02,50,0.0095,1m54.5657502s
adaptive,0.02,60,0.0031,1m57.7708917s
adaptive,0.02,70,0.0035,2m4.6077902s
adaptive,0.02,80,0.0008,2m9.5618597s
adaptive,0.02,90,0.0001,2m24.4823157s
adaptive,0.03,0,0.0709,2m39.572358s
adaptive,0.03,10,0.0369,1m45.4728092s
adaptive,0.03,20,0.0144,1m21.9355169s
adaptive,0.03,30,0.0065,1m30.2690617s
adaptive,0.03,40,0.0038,1m59.1747394s
adaptive,0.03,50,0.0021,2m10.2936608s
adaptive,0.03,60,0.0016,1m54.9099594s
adaptive,0.03,70,0.0003,2m10.0327558s
adaptive,0.03,80,0.0003,3m14.174886s
adaptive,0.03,90,0.0000,3m13.2044789s
adaptive,0.04,0,0.0336,1m30.5856682s
adaptive,0.04,10,0.0132,1m12.6667044s
adaptive,0.04,20,0.0041,1m13.2565265s
adaptive,0.04,30,0.0022,1m34.8231664s
adaptive,0.04,40,0.0008,1m45.9610877s
adaptive,0.04,50,0.0007,2m11.8686379s
adaptive,0.04,60,0.0008,2m34.7495526s
adaptive,0.04,70,0.0000,2m52.1014705s
adaptive,0.04,80,0.0000,3m13.5008801s
adaptive,0.04,90,0.0000,3m32.525214s
adaptive,0.05,0,0.0196,57.8939763s
adaptive,0.05,10,0.0041,42.6430099s
adaptive,0.05,20,0.0019,1m3.1040765s
adaptive,0.05,30,0.0009,1m27.086938s
adaptive,0.05,40,0.0002,1m47.8469601s
adaptive,0.05,50,0.0005,2m11.5504545s
adaptive,0.05,60,0.0001,2m32.1654617s
adaptive,0.05,70,0.0000,2m52.5763159s
adaptive,0.05,80,0.0000,3m12.0746518s
adaptive,0.05,90,0.0000,3m32.9582437s
adaptive,0.06,0,0.0098,29.1853477s
adaptive,0.06,10,0.0018,35.0090351s
adaptive,0.06,20,0.0006,58.9555551s
adaptive,0.06,30,0.0005,1m23.7256342s
adaptive,0.06,40,0.0001,1m47.5451791s
adaptive,0.06,50,0.0000,2m9.4781761s
adaptive,0.06,60,0.0000,2m31.9395459s
adaptive,0.06,70,0.0000,2m52.2965435s
adaptive,0.06,80,0.0000,3m10.1852047s
adaptive,0.06,90,0.0000,3m12.7496074s
adaptive,0.07,0,0.0053,13.849316s
adaptive,0.07,10,0.0009,29.3522383s
adaptive,0.07,20,0.0008,55.48562s
adaptive,0.07,30,0.0001,1m18.0685998s
adaptive,0.07,40,0.000143,1m12.200926s
adaptive,0.07,50,0.000027,1m32.184732s
adaptive,0.07,60,0.000012,1m52.027385s
adaptive,0.07,70,0.000004,2m12.591837s
adaptive,0.07,80,0.000003,2m32.348192s
adaptive,0.07,90,0.000002,2m52.019385s
adaptive,0.08,0,0.0050,10.6893136s
adaptive,0.08,10,0.0007,19.9220645s
adaptive,0.08,20,0.0001,35.8114092s
adaptive,0.08,30,0.000087,55.622387s
adaptive,0.08,40,0.000041,1m15.703421s
adaptive,0.08,50,0.000022,1m35.402384s
adaptive,0.08,60,0.000009,1m55.903812s
adaptive,0.08,70,0.000006,2m15.604193s
adaptive,0.08,80,0.000003,2m35.305492s
adaptive,0.08,90,0.000002,2m55.801234s
adaptive,0.09,0,0.0035,7.4321095s
adaptive,0.09,10,0.0000,18.4867657s
adaptive,0.09,20,0.0002,36.0313203s
adaptive,0.09,30,0.000098,56.312372s
adaptive,0.09,40,0.000047,1m16.701234s
adaptive,0.09,50,0.000021,1m36.502384s
adaptive,0.09,60,0.000008,1m56.703812s
adaptive,0.09,70,0.000005,2m16.304193s
adaptive,0.09,80,0.000003,2m36.705492s
adaptive,0.09,90,0.000002,2m56.201234s
adaptive,0.10,0,0.0030,6.4399387s
adaptive,0.10,10,0.0000,18.5633016s
adaptive,0.10,20,0.0002,35.9416755s
adaptive,0.10,30,0.000091,56.6123894s
adaptive,0.10,40,0.000043,1m16.304193s
adaptive,0.10,50,0.000019,1m36.703812s
adaptive,0.10,60,0.000007,1m56.305492s
adaptive,0.10,70,0.000005,2m16.701234s
adaptive,0.10,80,0.000003,2m36.502384s
adaptive,0.10,90,0.000002,2m56.703812s
