approach,tolerance,ratio,asr,time
adaptive,0.03,0,0.0276,56.3674992s
adaptive,0.03,10,0.0081,34.8758114s
adaptive,0.03,20,0.0024,39.8705162s
adaptive,0.03,30,0.0016,53.9477619s
adaptive,0.03,40,0.0013,1m20.9606565s
adaptive,0.03,50,0.0003,2m11.9837991s
adaptive,0.03,60,0.0003,1m48.8029051s
adaptive,0.03,70,0.0001,2m2.0207128s
adaptive,0.03,80,0.0000,2m17.3858258s
adaptive,0.03,90,0.0000,2m31.5686284s
adaptive,0.04,0,0.0096,22.4479416s
adaptive,0.04,10,0.0018,26.0426614s
adaptive,0.04,20,0.0010,42.9195314s
adaptive,0.04,30,0.0006,1m1.00865s
adaptive,0.04,40,0.0004,1m18.9407872s
adaptive,0.04,50,0.0001,1m32.9076153s
adaptive,0.04,60,0.0003,1m49.9409505s
adaptive,0.04,70,0.0000,2m6.2699684s
adaptive,0.04,80,0.0000,2m18.7644534s
adaptive,0.04,90,0.0000,2m34.187265s
adaptive,0.05,0,0.0053,12.6163919s
adaptive,0.05,10,0.0008,23.5142936s
adaptive,0.05,20,0.0003,42.0487796s
adaptive,0.05,30,0.0001,1m0.7528576s
adaptive,0.05,40,0.0000,1m13.7580203s
adaptive,0.05,50,0.0000,1m24.4975928s
adaptive,0.05,60,0.0001,1m37.6418875s
adaptive,0.05,70,0.0000,1m51.0835147s
adaptive,0.05,80,0.0000,2m8.7957061s
adaptive,0.05,90,0.0000,2m36.2098687s
adaptive,0.06,0,0.0037,8.5941458s
adaptive,0.06,10,0.0001,21.1534518s
adaptive,0.06,20,0.0001,39.3175256s
adaptive,0.06,30,0.0001,58.2919212s
adaptive,0.06,40,0.0000,1m19.1058559s
adaptive,0.06,50,0.0000,1m52.2941367s
adaptive,0.06,60,0.0001,1m47.1454251s
adaptive,0.06,70,0.0000,2m2.2226827s
adaptive,0.06,80,0.0000,2m15.427015s
adaptive,0.06,90,0.0000,2m27.2583402s
adaptive,0.07,0,0.0020,4.7317565s
adaptive,0.07,10,0.0002,19.2098518s
adaptive,0.07,20,0.0000,36.8193459s
adaptive,0.07,30,0.0000,57.5039471s
adaptive,0.07,40,0.0000,1m15.6848042s
adaptive,0.07,50,0.0000,1m31.4178389s
adaptive,0.07,60,0.0000,1m47.9511303s
adaptive,0.07,70,0.0000,2m7.6425416s
adaptive,0.07,80,0.0000,2m26.1605641s
adaptive,0.07,90,0.0000,2m26.9193677s
adaptive,0.08,0,0.0020,4.8823808s
adaptive,0.08,10,0.0002,21.7531406s
adaptive,0.08,20,0.0000,49.4527268s
adaptive,0.08,30,0.0000,1m13.419062s
adaptive,0.08,40,0.0000,1m22.2946918s
adaptive,0.08,50,0.0000,2m10.0599749s
adaptive,0.08,60,0.0000,1m33.6326705s
adaptive,0.08,70,0.0000,1m46.0067772s
adaptive,0.08,80,0.0000,2m11.6546584s
adaptive,0.08,90,0.0000,2m31.6776957s
adaptive,0.09,0,0.0022,5.4889995s
adaptive,0.09,10,0.0000,21.9361665s
adaptive,0.09,20,0.0000,40.7134362s
adaptive,0.09,30,0.0000,1m0.1140451s
adaptive,0.09,40,0.0000,1m17.9259185s
adaptive,0.09,50,0.0000,1m33.0888127s
adaptive,0.09,60,0.0000,1m47.9947376s
adaptive,0.09,70,0.0000,2m4.1656614s
adaptive,0.09,80,0.0000,2m16.9431986s
adaptive,0.09,90,0.0000,2m33.3920114s
adaptive,0.10,0,0.0009,2.749798s
adaptive,0.10,10,0.0000,21.4636637s
adaptive,0.10,20,0.0000,40.5898233s
adaptive,0.10,30,0.0000,59.542288s
adaptive,0.10,40,0.0000,1m18.1354506s
adaptive,0.10,50,0.0000,1m33.769058s
adaptive,0.10,60,0.0000,1m49.6932102s
adaptive,0.10,70,0.0000,2m4.4413177s
adaptive,0.10,80,0.0000,2m19.1423736s
