approach,tolerance,ratio,asr,time
adaptive,0.00,0,0.9979,18m25.7185483s
adaptive,0.00,25,0.7515,14m50.2186548s
adaptive,0.00,50,0.5071,10m43.0276458s
adaptive,0.00,75,0.2466,6m7.4097431s
adaptive,0.00,90,0.1035,3m57.3032965s
adaptive,0.10,0,1.0000,17m5.0123556s
adaptive,0.10,25,0.7483,13m42.8262597s
adaptive,0.10,50,0.5051,10m7.5629926s
adaptive,0.10,75,0.2503,6m15.253375s
adaptive,0.10,90,0.1019,3m59.7396143s
adaptive,0.50,0,1.0000,18m25.2459363s
adaptive,0.50,25,0.7483,14m11.4646935s
adaptive,0.50,50,0.4951,10m49.3220798s
adaptive,0.50,75,0.2465,6m32.8806383s
adaptive,0.50,90,0.1075,4m16.3387086s
adaptive,0.90,0,1.0000,18m50.8699195s
adaptive,0.90,25,0.7491,15m34.3908625s
adaptive,0.90,50,0.4985,10m51.3209321s
adaptive,0.90,75,0.2586,7m3.157385s
adaptive,0.90,90,0.0974,4m32.8378015s
