approach,tolerance,ratio,asr,time
adaptive,0.00,0,1.0000,11.1603658s
adaptive,0.00,10,0.9200,39.9286829s
adaptive,0.00,20,0.8200,1m6.5135923s
adaptive,0.00,30,0.7000,1m29.724743s
adaptive,0.00,40,0.4000,1m49.5925071s
adaptive,0.00,50,0.5000,2m10.4169072s
adaptive,0.00,60,0.3800,2m29.973489s
adaptive,0.00,70,0.2600,2m47.2622456s
adaptive,0.00,80,0.2800,3m6.7126932s
adaptive,0.00,90,0.1400,3m23.2232835s
adaptive,0.05,0,0.1800,2.9142278s
adaptive,0.05,10,0.1600,30.3609108s
adaptive,0.05,20,0.1000,55.4482794s
adaptive,0.05,30,0.2000,1m21.2542575s
adaptive,0.05,40,0.1400,1m43.2153283s
adaptive,0.05,50,0.1000,2m4.4089376s
adaptive,0.05,60,0.0000,2m22.749856s
adaptive,0.05,70,0.0200,2m42.6899674s
adaptive,0.05,80,0.1000,3m3.5978146s
adaptive,0.05,90,0.0200,3m21.0831956s
