approach,tolerance,ratio,asr,time
adaptive,0.05,0,0.1840,38.0695987s
adaptive,0.05,10,0.1630,49.7968723s
adaptive,0.05,20,0.1570,1m3.2519684s
adaptive,0.05,30,0.1330,1m11.8446736s
adaptive,0.05,40,0.1260,1m50.6279174s
adaptive,0.05,50,0.0880,1m48.8921832s
adaptive,0.05,60,0.0730,1m50.5247123s
adaptive,0.05,70,0.0560,1m58.4823111s
adaptive,0.05,80,0.0430,2m7.5932547s
adaptive,0.05,90,0.0140,2m11.0240983s
adaptive,0.00,0,1.0000,11.1603658s
adaptive,0.00,10,0.9200,39.9286829s
adaptive,0.00,20,0.8200,1m6.5135923s
adaptive,0.00,30,0.7000,1m29.724743s
adaptive,0.00,40,0.4000,1m49.5925071s
adaptive,0.00,50,0.5000,2m10.4169072s
adaptive,0.00,60,0.3800,2m29.973489s
adaptive,0.00,70,0.2600,2m47.2622456s
adaptive,0.00,80,0.2800,3m6.7126932s
adaptive,0.00,90,0.1400,3m23.2232835s
