approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.9987,306.3017ms,6.5079ms,32m16.7513123s,32m17.0641219s
adaptive,0.05,10,0.8983,297.2374ms,14.6938438s,29m5.86793s,29m20.8590112s
adaptive,0.05,20,0.7998,298.1355ms,28.1565146s,25m55.0916573s,26m23.5463074s
adaptive,0.05,30,0.7026,297.9164ms,40.8125115s,22m46.3567592s,23m27.4671871s
adaptive,0.05,40,0.5969,305.5264ms,52.4588938s,19m19.0004431s,20m11.7648633s
adaptive,0.05,50,0.5003,293.6659ms,1m3.2805437s,16m9.8957376s,17m13.4699472s
adaptive,0.05,60,0.4024,296.4149ms,1m13.4991121s,13m0.0835823s,14m13.8791093s
adaptive,0.05,70,0.3018,295.1644ms,1m23.163324s,9m44.9444852s,11m8.4029736s
adaptive,0.05,80,0.1984,299.6345ms,1m32.6837505s,6m24.6026552s,7m57.5860402s
adaptive,0.05,90,0.1005,300.5486ms,1m41.5658304s,3m15.4633893s,4m57.3297683s
