approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.3600,325.6249ms,5.5128ms,1m12.1750272s,1m12.5061649s
adaptive,0.05,10,0.2930,307.3744ms,15.3698253s,58.8936282s,1m14.5708279s
adaptive,0.05,20,0.2780,312.3482ms,29.3808855s,57.1521906s,1m26.8454243s
adaptive,0.05,30,0.2390,311.6953ms,42.4168049s,47.0605527s,1m29.7890529s
adaptive,0.05,40,0.1980,321.1956ms,53.4784004s,39.7480639s,1m33.5476599s
adaptive,0.05,50,0.1620,303.9595ms,1m4.5330994s,32.0402327s,1m36.8772916s
adaptive,0.05,60,0.1360,307.368ms,1m17.098494s,27.3319963s,1m44.7378583s
adaptive,0.05,70,0.1040,310.859ms,1m27.4292296s,21.1762101s,1m48.9162987s
adaptive,0.05,80,0.0650,303.8851ms,1m37.5514158s,12.9961535s,1m50.8514544s
adaptive,0.05,90,0.0410,309.6332ms,1m49.2160911s,9.0418407s,1m58.567565s
