round=0, currententropyreduction=0.3235, record=2048, original=0.000655, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2049, original=0.000711, encryptionratio=0.1000, entropyreductionratio=0.0022, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2050, original=0.000910, encryptionratio=0.1000, entropyreductionratio=0.0028, reduced=-0.000000
round=0, currententropyreduction=0.3235, record=2051, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2052, original=0.000593, encryptionratio=0.1000, entropyreductionratio=0.0018, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2053, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2054, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2055, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2056, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2057, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2058, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2059, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2060, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2061, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2062, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2063, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2064, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2065, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2066, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2067, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2068, original=0.000837, encryptionratio=0.1000, entropyreductionratio=0.0026, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2069, original=0.000562, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2070, original=0.000655, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2071, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2072, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2073, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2074, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2075, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
