approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0000,118.4485ms,5.513ms,0s,442.7631ms
adaptive,0.05,10,0.0000,109.0696ms,16.1097731s,0s,16.5276967s
adaptive,0.05,20,0.0000,111.5674ms,30.6852001s,0s,31.1026651s
adaptive,0.05,30,0.0000,109.0939ms,44.340983s,0s,44.7561158s
adaptive,0.05,40,0.0000,110.1831ms,57.1390722s,1.0004ms,57.5541317s
adaptive,0.05,50,0.0000,112.4959ms,1m9.4728912s,0s,1m9.8895896s
adaptive,0.05,60,0.0000,109.2288ms,1m21.4550982s,0s,1m21.8714675s
adaptive,0.05,70,0.0000,110.1131ms,1m31.7106364s,0s,1m32.1280552s
adaptive,0.05,80,0.0000,109.3619ms,1m41.2791494s,0s,1m41.6929806s
adaptive,0.05,90,0.0000,113.627ms,1m52.9551728s,1.0004ms,1m53.3801639s
