approach,tolerance,ratio,asr,time
adaptive,0.0,0,1.0,22m3.1206816s
adaptive,0.0,10,0.902,22m5.1516163s
adaptive,0.0,20,0.8067,16m22.6552563s
adaptive,0.0,30,0.7041,14m45.9237603s
adaptive,0.0,40,0.6046,12m51.6931249s
adaptive,0.0,50,0.5041,10m36.9357031s
adaptive,0.0,60,0.4037,8m20.7980826s
adaptive,0.0,70,0.3033,6m49.9534226s
adaptive,0.0,80,0.2023,5m26.7494709s
adaptive,0.0,90,0.103,3m59.9936567s
adaptive,0.1,0,1.0,18m1.0432642s
adaptive,0.1,10,0.9041,16m30.2774492s
adaptive,0.1,20,0.8049,15m1.1549818s
adaptive,0.1,30,0.7047,13m30.5507117s
adaptive,0.1,40,0.6031,12m4.4703988s
adaptive,0.1,50,0.5041,10m28.5580572s
adaptive,0.1,60,0.4021,8m48.6627449s
adaptive,0.1,70,0.3003,7m19.5194281s
adaptive,0.1,80,0.2046,5m38.8699507s
adaptive,0.1,90,0.103,4m13.6267767s
adaptive,0.2,0,1.0,17m59.1877246s
adaptive,0.2,10,0.902,16m24.0566883s
adaptive,0.2,20,0.8031,14m58.5782339s
adaptive,0.2,30,0.7041,13m25.7523802s
adaptive,0.2,40,0.6029,11m55.3906947s
adaptive,0.2,50,0.5022,10m16.6407976s
adaptive,0.2,60,0.3984,8m47.6300004s
adaptive,0.2,70,0.2995,7m15.9267045s
adaptive,0.2,80,0.2023,5m45.2954033s
adaptive,0.2,90,0.1027,4m13.2653976s
adaptive,0.3,0,1.0,17m58.2672253s
adaptive,0.3,10,0.9011,16m23.024589s
adaptive,0.3,20,0.8003,15m1.1446144s
adaptive,0.3,30,0.7018,13m26.3654206s
adaptive,0.3,40,0.602,11m57.8718441s
adaptive,0.3,50,0.5016,10m15.050382s
adaptive,0.3,60,0.3976,8m52.2407725s
adaptive,0.3,70,0.2974,7m12.8942245s
adaptive,0.3,80,0.2011,5m43.9621449s
adaptive,0.3,90,0.1023,4m11.1316484s
adaptive,0.4,0,1.0,17m50.551854s
adaptive,0.4,10,0.9008,16m17.8952741s
adaptive,0.4,20,0.8001,14m53.4958477s
adaptive,0.4,30,0.7012,13m30.7413262s
adaptive,0.4,40,0.5989,11m49.8682093s
adaptive,0.4,50,0.5014,10m24.1795095s
adaptive,0.4,60,0.397,8m48.3206025s
adaptive,0.4,70,0.2972,7m18.0502354s
adaptive,0.4,80,0.1993,5m43.4383102s
adaptive,0.4,90,0.102,4m7.75771s
adaptive,0.5,0,1.0,17m51.6009707s
adaptive,0.5,10,0.8992,16m28.2313299s
adaptive,0.5,20,0.7997,14m47.9783074s
adaptive,0.5,30,0.7006,13m17.008287s
adaptive,0.5,40,0.5975,12m2.0738505s
adaptive,0.5,50,0.5007,10m25.9895677s
adaptive,0.5,60,0.3952,8m47.6037792s
adaptive,0.5,70,0.2967,7m13.753513s
adaptive,0.5,80,0.199,5m39.54855s
adaptive,0.5,90,0.1011,4m6.833271s
adaptive,0.6,0,1.0,17m54.0247833s
adaptive,0.6,10,0.8981,16m28.0963067s
adaptive,0.6,20,0.7997,15m6.6087632s
adaptive,0.6,30,0.6988,13m37.7918917s
adaptive,0.6,40,0.597,11m58.0760281s
adaptive,0.6,50,0.4976,10m23.4369823s
adaptive,0.6,60,0.395,8m47.6948071s
adaptive,0.6,70,0.2963,7m17.2616603s
adaptive,0.6,80,0.1979,5m42.4183915s
adaptive,0.6,90,0.0998,4m14.0567478s
adaptive,0.7,0,1.0,17m57.7486043s
adaptive,0.7,10,0.8977,16m38.5186947s
adaptive,0.7,20,0.7986,15m1.6222244s
adaptive,0.7,30,0.6985,13m34.1554963s
adaptive,0.7,40,0.5968,11m57.9126065s
adaptive,0.7,50,0.4932,10m30.0106402s
adaptive,0.7,60,0.3946,8m59.5185808s
adaptive,0.7,70,0.296,7m14.7693017s
adaptive,0.7,80,0.1966,5m47.5351367s
adaptive,0.7,90,0.0996,3m52.7607535s
adaptive,0.8,0,1.0,17m54.8960228s
adaptive,0.8,10,0.8942,16m37.8380179s
adaptive,0.8,20,0.798,15m7.0506513s
adaptive,0.8,30,0.6962,13m35.6698992s
adaptive,0.8,40,0.5951,12m7.5476513s
adaptive,0.8,50,0.4928,10m24.0727727s
adaptive,0.8,60,0.3939,8m55.4854407s
adaptive,0.8,70,0.2933,7m20.9537032s
adaptive,0.8,80,0.1943,5m54.0008158s
adaptive,0.8,90,0.0974,4m16.9348644s
adaptive,0.9,0,1.0,18m3.5418426s
adaptive,0.9,10,0.8937,16m31.0748252s
adaptive,0.9,20,0.7967,15m4.1821696s
adaptive,0.9,30,0.692,13m31.0135231s
adaptive,0.9,40,0.5946,11m58.1487457s
adaptive,0.9,50,0.491,10m34.5902392s
adaptive,0.9,60,0.3937,8m53.3801193s
adaptive,0.9,70,0.2925,7m21.9826278s
adaptive,0.9,80,0.1929,5m52.9212486s
adaptive,0.9,90,0.0967,4m12.1973196s
