approach,tolerance,ratio,asr,time
sliding,0.0,0,1.0,18m11.3323529s
sliding,0.0,10,0.902,16m36.2547025s
sliding,0.0,20,0.8067,15m0.0075419s
sliding,0.0,30,0.7041,13m38.3557832s
sliding,0.0,40,0.6046,12m13.9169281s
sliding,0.0,50,0.5041,10m28.0217611s
sliding,0.0,60,0.4037,9m0.980169s
sliding,0.0,70,0.3033,7m20.696451s
sliding,0.0,80,0.2023,5m44.5906642s
sliding,0.0,90,0.103,4m9.3401743s
sliding,0.1,0,1.0,18m4.6376586s
sliding,0.1,10,0.902,16m36.6487448s
sliding,0.1,20,0.8014,15m9.1105775s
sliding,0.1,30,0.7041,13m39.5767461s
sliding,0.1,40,0.6057,12m12.0897051s
sliding,0.1,50,0.5045,10m29.5561994s
sliding,0.1,60,0.4066,9m2.808829s
sliding,0.1,70,0.3043,7m24.7629652s
sliding,0.1,80,0.204,5m45.5743681s
sliding,0.1,90,0.1031,4m9.2412278s
sliding,0.2,0,0.9999,18m1.9567904s
sliding,0.2,10,0.9015,16m35.7696688s
sliding,0.2,20,0.7995,14m58.8451413s
sliding,0.2,30,0.7034,13m30.991701s
sliding,0.2,40,0.5997,12m0.1166337s
sliding,0.2,50,0.5041,10m27.0501643s
sliding,0.2,60,0.4059,8m52.9086063s
sliding,0.2,70,0.3031,7m15.9789128s
sliding,0.2,80,0.2028,5m51.3087387s
sliding,0.2,90,0.103,4m13.2574524s
sliding,0.3,0,0.9998,18m0.3454635s
sliding,0.3,10,0.9013,16m31.6917291s
sliding,0.3,20,0.7985,14m55.4497383s
sliding,0.3,30,0.6999,13m29.8828663s
sliding,0.3,40,0.5989,12m5.2929123s
sliding,0.3,50,0.5026,10m33.4589753s
sliding,0.3,60,0.4045,8m58.0772475s
sliding,0.3,70,0.3003,7m18.5439005s
sliding,0.3,80,0.2027,5m50.609151s
sliding,0.3,90,0.1023,4m11.7099677s
sliding,0.4,0,0.9997,17m58.0959582s
sliding,0.4,10,0.901,16m33.5472875s
sliding,0.4,20,0.7967,15m0.6959092s
sliding,0.4,30,0.6996,13m29.3535375s
sliding,0.4,40,0.5966,11m58.5024988s
sliding,0.4,50,0.4994,10m22.523726s
sliding,0.4,60,0.404,8m53.1202228s
sliding,0.4,70,0.2988,7m14.1328563s
sliding,0.4,80,0.2023,5m40.4162581s
sliding,0.4,90,0.101,4m15.048584s
sliding,0.5,0,0.9997,18m2.6472485s
sliding,0.5,10,0.9007,16m38.5511283s
sliding,0.5,20,0.7967,15m4.3151554s
sliding,0.5,30,0.6982,13m33.2536143s
sliding,0.5,40,0.5963,11m53.9136541s
sliding,0.5,50,0.499,10m32.8189502s
sliding,0.5,60,0.4029,9m0.6262213s
sliding,0.5,70,0.2978,7m27.8572229s
sliding,0.5,80,0.202,5m48.4759955s
sliding,0.5,90,0.1009,4m20.2377026s
sliding,0.6,0,0.9997,17m47.6807742s
sliding,0.6,10,0.8995,16m32.9191096s
sliding,0.6,20,0.7963,15m5.1601698s
sliding,0.6,30,0.6967,13m38.6739278s
sliding,0.6,40,0.5958,11m49.9245925s
sliding,0.6,50,0.4985,10m28.5669272s
sliding,0.6,60,0.3984,9m0.9116956s
sliding,0.6,70,0.297,7m22.9524027s
sliding,0.6,80,0.2016,5m55.3655488s
sliding,0.6,90,0.1006,4m14.8106825s
sliding,0.7,0,0.9996,18m3.5767735s
sliding,0.7,10,0.8994,16m32.9638324s
sliding,0.7,20,0.7958,14m57.8694857s
sliding,0.7,30,0.6966,13m29.5811508s
sliding,0.7,40,0.5946,11m53.9012288s
sliding,0.7,50,0.4974,10m30.7461284s
sliding,0.7,60,0.3968,9m0.0290831s
sliding,0.7,70,0.2957,7m10.6602469s
sliding,0.7,80,0.2004,5m46.1711328s
sliding,0.7,90,0.0999,4m16.4853212s
sliding,0.8,0,0.9996,18m29.5803336s
sliding,0.8,10,0.8993,16m48.6228403s
sliding,0.8,20,0.7953,15m13.5356361s
sliding,0.8,30,0.6942,13m43.963643s
sliding,0.8,40,0.5942,12m6.3554199s
sliding,0.8,50,0.4974,10m34.3962833s
sliding,0.8,60,0.3937,8m50.9859144s
sliding,0.8,70,0.2933,7m25.3366936s
sliding,0.8,80,0.1954,5m55.7443082s
sliding,0.8,90,0.0988,4m20.2058707s
sliding,0.9,0,0.9995,18m24.0874766s
sliding,0.9,10,0.8971,16m57.0769246s
sliding,0.9,20,0.7947,15m38.8951961s
sliding,0.9,30,0.6885,14m25.5453296s
sliding,0.9,40,0.587,12m46.3307712s
sliding,0.9,50,0.4959,11m12.4557156s
sliding,0.9,60,0.3879,9m55.6623852s
sliding,0.9,70,0.2931,8m6.9244379s
sliding,0.9,80,0.1951,6m14.4658135s
sliding,0.9,90,0.0974,4m31.1090407s
