approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.06,8.0027ms,13.0501ms,12.2322365s,12.6163626s
adaptive,0.05,10,0.056,8.3575ms,14.5050246s,11.4720848s,26.3151539s
adaptive,0.05,20,0.052,8.7122ms,28.9969991s,10.711933s,40.0139451s
adaptive,0.05,30,0.0415,8.6065ms,43.2977981s,8.6030168s,52.2206378s
adaptive,0.05,40,0.031,8.5008ms,57.5985971s,6.4941007s,1m4.4273304s
adaptive,0.05,50,0.0255,8.5454ms,1m8.2789810s,5.2857636s,1m13.8914896s
adaptive,0.05,60,0.02,8.5901ms,1m18.9593649s,4.0774265s,1m23.3556488s
adaptive,0.05,70,0.016,8.9281ms,1m28.8087253s,3.2530902s,1m32.3776218s
adaptive,0.05,80,0.012,9.2662ms,1m38.6580857s,2.428754s,1m41.3995948s
adaptive,0.05,90,0.006,8.8864ms,1m48.4691638s,1.2143770s,1m49.9953955s
