approach,tolerance,ratio,asr,time
none,0.00,0,1.0000,1m39.5861371s
none,0.00,10,0.9090,1m47.8949325s
none,0.00,20,0.7970,1m54.6863388s
none,0.00,30,0.6990,1m59.3687417s
none,0.00,40,0.6290,2m7.0170034s
none,0.00,50,0.5100,2m8.1883363s
none,0.00,60,0.3970,2m9.8645439s
none,0.00,70,0.3050,2m14.3995764s
none,0.00,80,0.2100,2m15.5728315s
none,0.00,90,0.1150,2m18.5480682s
sliding,0.00,0,1.0000,1m37.7944926s
sliding,0.00,10,0.8860,1m44.4769228s
sliding,0.00,20,0.7980,1m54.5471065s
sliding,0.00,30,0.6900,1m59.6879016s
sliding,0.00,40,0.5910,2m3.9901907s
sliding,0.00,50,0.5060,2m9.2961834s
sliding,0.00,60,0.3900,2m9.75101s
sliding,0.00,70,0.3090,2m12.0448613s
sliding,0.00,80,0.1720,2m16.4258693s
sliding,0.00,90,0.1120,2m19.9592835s
sliding,0.10,0,1.0000,1m44.0775917s
sliding,0.10,10,0.9150,1m51.9737439s
sliding,0.10,20,0.7830,2m2.9603753s
sliding,0.10,30,0.6870,2m8.6753216s
sliding,0.10,40,0.5780,2m13.6351827s
sliding,0.10,50,0.5020,2m21.1769216s
sliding,0.10,60,0.3770,2m22.8229472s
sliding,0.10,70,0.3110,2m28.4134993s
sliding,0.10,80,0.2020,2m30.571215s
sliding,0.10,90,0.0850,2m30.4819775s
sliding,0.20,0,1.0000,1m48.3962879s
sliding,0.20,10,0.8940,1m59.6527194s
sliding,0.20,20,0.8030,2m9.9549915s
sliding,0.20,30,0.7070,2m18.5805665s
sliding,0.20,40,0.5870,2m23.264312s
sliding,0.20,50,0.4890,2m31.2317134s
sliding,0.20,60,0.3870,2m35.2930274s
sliding,0.20,70,0.2930,2m37.8577046s
sliding,0.20,80,0.2150,2m42.8771588s
sliding,0.20,90,0.1160,2m43.8139476s
sliding,0.30,0,1.0000,1m56.0405522s
sliding,0.30,10,0.9070,2m15.3244033s
sliding,0.30,20,0.7900,2m20.2553041s
sliding,0.30,30,0.6870,2m43.5041098s
sliding,0.30,40,0.5960,2m55.3188938s
sliding,0.30,50,0.5070,3m5.1332135s
sliding,0.30,60,0.4230,3m7.5764713s
sliding,0.30,70,0.3010,3m15.311083s
sliding,0.30,80,0.1930,3m18.3550302s
sliding,0.30,90,0.0970,3m35.2513644s
sliding,0.40,0,1.0000,1m47.0413475s
sliding,0.40,10,0.9040,2m32.0338832s
sliding,0.40,20,0.8080,2m41.2533075s
sliding,0.40,30,0.7020,2m52.7672366s
sliding,0.40,40,0.6220,2m57.6408865s
sliding,0.40,50,0.4940,3m0.2549992s
sliding,0.40,60,0.3850,3m6.0647798s
sliding,0.40,70,0.2800,3m8.8564869s
sliding,0.40,80,0.2050,2m47.5807132s
sliding,0.40,90,0.0830,2m18.4403326s
sliding,0.50,0,1.0000,1m50.7525463s
sliding,0.50,10,0.9030,2m1.4448322s
sliding,0.50,20,0.7770,2m5.3048839s
sliding,0.50,30,0.7140,2m14.3992522s
sliding,0.50,40,0.6280,2m23.1696781s
sliding,0.50,50,0.5030,2m24.1122589s
sliding,0.50,60,0.4070,2m28.4939528s
sliding,0.50,70,0.3240,2m32.460807s
sliding,0.50,80,0.2060,2m33.023878s
sliding,0.50,90,0.1100,2m39.0665733s
sliding,0.60,0,1.0000,1m50.446136s
sliding,0.60,10,0.9000,1m58.2780385s
sliding,0.60,20,0.8070,2m6.9610078s
sliding,0.60,30,0.6930,2m13.2647207s
sliding,0.60,40,0.5750,2m16.3372192s
sliding,0.60,50,0.5400,2m27.5308107s
sliding,0.60,60,0.4270,2m28.9325381s
sliding,0.60,70,0.3040,2m30.3917049s
sliding,0.60,80,0.2060,2m34.0799743s
sliding,0.60,90,0.1080,2m36.5841592s
sliding,0.70,0,1.0000,1m49.2005079s
sliding,0.70,10,0.9030,1m58.6990478s
sliding,0.70,20,0.8110,2m8.4076151s
sliding,0.70,30,0.6940,2m12.4687647s
sliding,0.70,40,0.6040,2m18.4915829s
sliding,0.70,50,0.5010,2m21.3829361s
sliding,0.70,60,0.3780,2m24.1494785s
sliding,0.70,70,0.2960,2m28.8342446s
sliding,0.70,80,0.2160,2m34.1784424s
sliding,0.70,90,0.1130,2m36.309102s
sliding,0.80,0,1.0000,1m48.1658389s
sliding,0.80,10,0.8920,1m57.2244263s
sliding,0.80,20,0.7940,2m4.975839s
