approach,tolerance,ratio,asr,preprocessing_time,encryption_time,attack_time,total_time
adaptive,0.05,0,0.0000,3.0318ms,7.0397ms,2.0007ms,341.0391ms
adaptive,0.05,10,0.0000,2.998ms,15.7623219s,2.0008ms,16.0758596s
adaptive,0.05,20,0.0000,2.5095ms,30.1529946s,3.0069ms,30.464611s
adaptive,0.05,30,0.0000,2.0005ms,48.6177256s,3.9996ms,49.0044453s
adaptive,0.05,40,0.0000,2.5087ms,59.6383811s,4.5064ms,59.9682931s
adaptive,0.05,50,0.0000,1.505ms,1m12.1173946s,4.7007ms,1m12.4394724s
adaptive,0.05,60,0.0000,3.1498ms,1m23.9537116s,5.5105ms,1m24.2781196s
adaptive,0.05,70,0.0000,3.0001ms,1m36.9764374s,6.3316ms,1m37.3332064s
adaptive,0.05,80,0.0000,1.5977ms,1m40.3860939s,6.5098ms,1m40.7357573s
adaptive,0.05,90,0.0000,1.9996ms,1m46.7717955s,7.5139ms,1m47.0821008s
