Series Breaking Algorithm Test Results
Generated:,2025-08-09 05:23:35
Test Runs:,1000
Data Type:,"Real Electricity Consumption (80 households, 168 hours)"

Approach,Tolerance_%,Original_ASR,Broken_ASR,ASR_Improvement,ASR_Reduction_%,Original_Time_s,Broken_Time_s,Total_Preservation,Total_Preservation_%,Efficiency_Gain,Efficiency_Gain_%,Success_Status
Sliding Window Breaking,5.0,0.141322,0.139375,0.001947,1.38,1.335,1.332,0.999759,99.98,0.000603,0.06,SUCCESS
Sliding Window Breaking,10.0,0.140298,0.131090,0.009208,6.56,1.176,1.175,0.999196,99.92,-0.000804,-0.08,SUCCESS
Sliding Window Breaking,15.0,0.141270,0.124442,0.016828,11.91,1.123,1.123,0.998333,99.83,-0.000465,-0.05,SUCCESS
Adaptive Pattern Breaking,5.0,0.141109,0.141519,-0.000410,-0.29,1.122,1.122,0.999885,99.99,-0.000032,-0.00,FAILED
Adaptive Pattern Breaking,10.0,0.141082,0.135709,0.005373,3.81,1.119,1.119,0.999556,99.96,-0.000166,-0.02,SUCCESS
Adaptive Pattern Breaking,15.0,0.141415,0.130829,0.010586,7.49,1.120,1.120,0.999022,99.90,0.000166,0.02,SUCCESS

Summary Statistics:

Sliding Window Breaking Summary:
,Average ASR Improvement:,0.009328
,Average Preservation:,99.91%
,Average Efficiency Gain:,-0.02%
,Success Rate:,3/3 (100.0%)

Adaptive Pattern Breaking Summary:
,Average ASR Improvement:,0.005183
,Average Preservation:,99.95%
,Average Efficiency Gain:,-0.00%
,Success Rate:,2/3 (66.7%)
