approach,tolerance,ratio,asr,time
sliding,0.00,0,1.0000,1m56.8363602s
sliding,0.00,10,0.8830,1m52.8065144s
sliding,0.00,20,0.8010,2m5.4009666s
sliding,0.00,30,0.7110,2m7.8829551s
sliding,0.00,40,0.6300,2m14.7224104s
sliding,0.00,50,0.5040,2m14.8013798s
sliding,0.00,60,0.4270,2m19.2406636s
sliding,0.00,70,0.3100,2m19.0240563s
sliding,0.00,80,0.1920,2m19.0333705s
sliding,0.00,90,0.1160,2m22.3047027s
sliding,0.10,0,1.0000,1m46.550953s
sliding,0.10,10,0.9050,1m55.3565529s
sliding,0.10,20,0.8020,2m1.8563101s
sliding,0.10,30,0.7100,2m8.0127233s
sliding,0.10,40,0.5880,2m9.9199994s
sliding,0.10,50,0.5030,2m15.5200355s
sliding,0.10,60,0.3720,2m13.7291128s
sliding,0.10,70,0.3420,2m23.3851234s
sliding,0.10,80,0.2030,2m20.0982685s
sliding,0.10,90,0.1040,2m21.0240981s
sliding,0.20,0,1.0000,1m46.1779021s
sliding,0.20,10,0.8780,1m52.3820239s
sliding,0.20,20,0.8200,2m4.1688258s
sliding,0.20,30,0.6790,2m4.7420287s
sliding,0.20,40,0.5910,2m10.9035691s
sliding,0.20,50,0.5000,2m14.6664258s
sliding,0.20,60,0.3900,2m16.0808775s
sliding,0.20,70,0.2870,2m18.4313854s
sliding,0.20,80,0.2270,2m22.9970179s
sliding,0.20,90,0.1010,2m20.5462392s
sliding,0.30,0,1.0000,1m45.6557543s
sliding,0.30,10,0.8780,1m52.1038016s
sliding,0.30,20,0.7920,2m0.6935475s
sliding,0.30,30,0.6890,2m5.6561419s
sliding,0.30,40,0.5810,2m10.343399s
sliding,0.30,50,0.4840,2m12.9746333s
sliding,0.30,60,0.3970,2m17.1544087s
sliding,0.30,70,0.3240,2m21.5383128s
sliding,0.30,80,0.1970,2m19.2223651s
sliding,0.30,90,0.0940,2m20.6031841s
sliding,0.40,0,1.0000,1m45.9094908s
sliding,0.40,10,0.8970,1m54.2132543s
sliding,0.40,20,0.7910,2m0.2730382s
sliding,0.40,30,0.6940,2m6.111202s
sliding,0.40,40,0.5920,2m10.2316437s
sliding,0.40,50,0.4940,2m13.4045705s
sliding,0.40,60,0.3720,2m13.926495s
sliding,0.40,70,0.3110,2m19.5379646s
sliding,0.40,80,0.2160,2m21.6276158s
sliding,0.40,90,0.0940,2m19.6488775s
sliding,0.50,0,1.0000,1m45.8807289s
sliding,0.50,10,0.8800,1m52.0233446s
sliding,0.50,20,0.8060,2m1.7443486s
sliding,0.50,30,0.6930,2m5.8617416s
sliding,0.50,40,0.5980,2m10.5570438s
sliding,0.50,50,0.5160,2m16.953485s
sliding,0.50,60,0.4110,2m17.8103851s
sliding,0.50,70,0.3340,2m22.101214s
sliding,0.50,80,0.1840,2m18.0332246s
sliding,0.50,90,0.1000,2m21.4312825s
sliding,0.60,0,1.0000,1m45.2337333s
sliding,0.60,10,0.8910,1m52.959485s
sliding,0.60,20,0.7920,2m0.2477499s
sliding,0.60,30,0.7010,2m6.8819943s
sliding,0.60,40,0.6380,2m15.7768829s
sliding,0.60,50,0.4920,2m13.923789s
sliding,0.60,60,0.3890,2m16.0578808s
sliding,0.60,70,0.3090,2m19.3728538s
sliding,0.60,80,0.2000,2m20.0604095s
sliding,0.60,90,0.1010,2m33.906861s
sliding,0.70,0,1.0000,1m46.6835886s
sliding,0.70,10,0.9160,1m54.9786976s
sliding,0.70,20,0.7940,2m0.1011402s
sliding,0.70,30,0.7250,2m9.0949367s
sliding,0.70,40,0.5740,2m7.5443469s
sliding,0.70,50,0.5130,2m14.9316369s
sliding,0.70,60,0.4090,2m16.7776446s
sliding,0.70,70,0.3070,2m18.4974934s
sliding,0.70,80,0.1900,2m18.9294357s
sliding,0.70,90,0.1180,2m21.6765405s
sliding,0.80,0,1.0000,1m44.9591994s
sliding,0.80,10,0.9110,1m54.4283961s
sliding,0.80,20,0.8130,2m1.3990151s
sliding,0.80,30,0.7160,2m8.3705698s
sliding,0.80,40,0.5900,2m9.0749952s
sliding,0.80,50,0.5250,2m16.5302674s
sliding,0.80,60,0.3920,2m15.0511774s
sliding,0.80,70,0.2840,2m16.4193339s
sliding,0.80,80,0.2010,2m19.8786439s
sliding,0.80,90,0.1040,2m20.6885872s
sliding,0.90,0,1.0000,1m44.6717803s
sliding,0.90,10,0.8950,1m52.5996211s
sliding,0.90,20,0.7910,1m59.2663158s
sliding,0.90,30,0.7240,2m7.8497973s
sliding,0.90,40,0.5900,2m8.9539794s
sliding,0.90,50,0.5130,2m14.752892s
sliding,0.90,60,0.4120,2m16.8895659s
sliding,0.90,70,0.2860,2m16.5676385s
sliding,0.90,80,0.1960,2m18.5578901s
sliding,0.90,90,0.1110,2m21.8187641s
