approach,tolerance,ratio,asr,time
adaptive,0.01,0,0.0000,325.8421ms
adaptive,0.01,10,0.0000,15.3530283s
adaptive,0.01,20,0.0000,29.8946683s
adaptive,0.01,30,0.0000,42.852974s
adaptive,0.01,40,0.0000,55.5859678s
adaptive,0.01,50,0.0000,1m8.6022851s
adaptive,0.01,60,0.0000,1m19.3409542s
adaptive,0.01,70,0.0000,1m27.1602318s
adaptive,0.01,80,0.0000,1m38.6543877s
adaptive,0.01,90,0.0000,1m47.0884021s
adaptive,0.02,0,0.0000,317.3266ms
adaptive,0.02,10,0.0000,15.5872753s
adaptive,0.02,20,0.0000,29.4764421s
adaptive,0.02,30,0.0000,43.8026956s
adaptive,0.02,40,0.0000,55.4323973s
adaptive,0.02,50,0.0000,1m8.695142s
adaptive,0.02,60,0.0000,1m15.7621083s
adaptive,0.02,70,0.0000,1m26.1322182s
adaptive,0.02,80,0.0000,1m36.9808296s
adaptive,0.02,90,0.0000,1m45.2763103s
adaptive,0.03,0,0.0000,325.2554ms
adaptive,0.03,10,0.0000,16.6327881s
adaptive,0.03,20,0.0000,29.2530409s
adaptive,0.03,30,0.0000,42.6718861s
adaptive,0.03,40,0.0000,55.1104346s
adaptive,0.03,50,0.0000,1m6.9766714s
adaptive,0.03,60,0.0000,1m16.1064365s
adaptive,0.03,70,0.0000,1m27.5040344s
adaptive,0.03,80,0.0000,1m36.9609679s
adaptive,0.03,90,0.0000,1m47.479516s
